Metagenome	bin	contig_id	max_score	max_score_group	length	hallmark	viral	cellular	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
B1	bin.009	NODE_4_length_216371_cov_11.152869||full	1	dsDNAphage	216316	14	22.8	2.3	216316	No	NA	289	22	11	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA
B2	bin.050	NODE_30_length_216371_cov_49.359141||full	1	dsDNAphage	216316	14	22.8	2.3	216316	No	NA	290	22	11	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA
C1	bin.014	NODE_17_length_216371_cov_18.980394||full	1	dsDNAphage	216316	14	22.8	2.3	216316	No	NA	289	22	11	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA
C2	bin.070	NODE_69_length_216371_cov_170.104967||full	1	dsDNAphage	216142	14	22.8	2.3	216142	No	NA	289	22	11	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA
C2	bin.117	NODE_74_length_208099_cov_11.159481||full	1	dsDNAphage	208063	10	24.7	3.6	208063	No	NA	277	19	11	High-quality	High-quality	96.58	AAI-based (medium-confidence)	0	1	NA
A1	bin.024	NODE_5_length_205290_cov_15.480376||full	1	dsDNAphage	205244	7	33.2	1.4	205244	No	NA	421	44	17	Medium-quality	Genome-fragment	70.3	HMM-based (lower-bound)	0	1	NA
B2	bin.083	NODE_34_length_204220_cov_11.537864||full	1	dsDNAphage	204165	5	32.8	1.2	204165	No	NA	313	26	2	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
A3	bin.036	NODE_7_length_190147_cov_5.800007||full	1	dsDNAphage	190143	2	24.2	1.9	190143	No	NA	312	29	7	High-quality	High-quality	93.01	AAI-based (medium-confidence)	0	1	NA
A3	bin.ubinned	NODE_8_length_188718_cov_8.264169||full	1	dsDNAphage	188663	5	24	0.3	188663	No	NA	296	29	9	Medium-quality	Genome-fragment	85.14	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_90_length_186157_cov_6.422123||full	0.993	dsDNAphage	186155	3	14.9	1.3	186155	No	NA	315	14	5	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
B2	bin.unbinned	NODE_44_length_183762_cov_6.881834||full	0.993	dsDNAphage	183760	25	51	2.4	183760	No	NA	247	81	7	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
C2	bin.129	NODE_94_length_181086_cov_6.114715||full	1	dsDNAphage	181084	6	27.6	4.6	181084	No	NA	250	26	15	Medium-quality	Genome-fragment	87.38	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_50_length_177125_cov_9.374231||full	0.953	dsDNAphage	177123	7	15	2.6	177123	No	NA	273	16	2	High-quality	High-quality	97.9	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_110_length_172866_cov_6.123233||full	0.987	dsDNAphage	172811	8	30.5	4.3	172811	No	NA	210	23	6	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
C2	bin.unbinned	NODE_111_length_172235_cov_6.258706||full	0.967	dsDNAphage	172232	4	14.9	3.3	172232	No	NA	236	11	11	Medium-quality	Genome-fragment	85.08	HMM-based (lower-bound)	0	1	NA
B2	bin.096	NODE_55_length_170624_cov_6.404458||full	0.973	dsDNAphage	170148	8	25.4	2.3	170148	No	NA	260	28	10	Medium-quality	Genome-fragment	68.96	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_121_length_165558_cov_31.730259||full	1	dsDNAphage	165556	9	26.7	1.8	165556	No	NA	227	28	3	Medium-quality	Genome-fragment	88.81	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_56_length_165503_cov_163.910044||full	1	dsDNAphage	165448	9	26.7	1.8	165448	No	NA	227	28	3	Medium-quality	Genome-fragment	88.79	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_122_length_165216_cov_6.504907||full	1	dsDNAphage	165214	20	60.1	2.2	165214	No	NA	181	72	4	Low-quality	Genome-fragment	47.02	AAI-based (medium-confidence)	0	1	NA
C2	bin.unbinned	NODE_123_length_164513_cov_5.975915||full	1	dsDNAphage	164492	16	31.3	0	164492	No	NA	218	31	3	Complete	High-quality	100	DTR (high-confidence)	0	1	NA
B2	bin.unbinned	NODE_58_length_164161_cov_6.870169||full	1	dsDNAphage	164161	11	30.9	2.2	164161	No	NA	224	35	6	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
C2	bin.048	NODE_128_length_162861_cov_18.067786||full	0.973	dsDNAphage	162858	3	14.4	1.4	162858	No	NA	246	12	4	Medium-quality	Genome-fragment	83.42	HMM-based (lower-bound)	0	1	NA
B2	bin.096	NODE_59_length_162794_cov_6.304512||full	0.98	dsDNAphage	162794	1	21	3.9	162794	No	NA	280	20	17	Medium-quality	Genome-fragment	79.36	HMM-based (lower-bound)	0	1.01	NA
C2	bin.unbinned	NODE_129_length_160882_cov_6.707176||full	0.927	dsDNAphage	160881	15	26.2	2.6	160881	Yes	158442	191	32	4	High-quality	High-quality	98.66	AAI-based (medium-confidence)	1.52	1	NA
C2	bin.unbinned	NODE_131_length_158591_cov_10.679051||full	1	dsDNAphage	158536	27	51.3	1.1	158536	No	NA	254	109	0	Medium-quality	Genome-fragment	83.07	AAI-based (medium-confidence)	0	1	NA
C2	bin.unbinned	NODE_139_length_156375_cov_29.966729||full	0.98	dsDNAphage	156304	8	19.8	1.2	156304	No	NA	252	25	0	High-quality	High-quality	96.95	AAI-based (medium-confidence)	0	1	NA
B2	bin.unbinned	NODE_65_length_156296_cov_10.839152||full	1	dsDNAphage	156241	10	30.1	0.9	156241	No	NA	227	33	3	High-quality	High-quality	96.82	AAI-based (medium-confidence)	0	1	NA
B1	bin.unbinned	NODE_9_length_151760_cov_33.060387||full	0.993	dsDNAphage	151756	9	28.1	1.5	151756	No	NA	203	27	3	Medium-quality	Genome-fragment	84.72	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_150_length_146027_cov_10.434919||full	0.987	dsDNAphage	145972	5	19	2.1	145972	No	NA	240	22	5	Medium-quality	Genome-fragment	88.22	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_79_length_144212_cov_12.179998||full	1	dsDNAphage	144090	10	24.2	1.6	144090	No	NA	186	15	5	High-quality	High-quality	91.14	HMM-based (lower-bound)	0	1	NA
C2	bin.051	NODE_156_length_144691_cov_35.771129||full	0.86	dsDNAphage	140493	7	23.9	27.2	140493	Yes	52289	178	26	71	Medium-quality	Genome-fragment	71.85	HMM-based (lower-bound)	62.78	1	low-confidence Provirus
B2	bin.unbinned	NODE_83_length_140072_cov_6.815501||full	0.98	dsDNAphage	140017	5	24.4	5	140017	No	NA	202	18	11	High-quality	High-quality	95.79	HMM-based (lower-bound)	0	1	NA
A1	bin.035	NODE_15_length_138487_cov_5.189003||full	0.98	dsDNAphage	138485	9	37.8	4.4	138485	No	NA	180	39	7	Low-quality	Genome-fragment	37.2	AAI-based (medium-confidence)	0	1	NA
B2	bin.095	NODE_85_length_137211_cov_12.099668||full	0.873	dsDNAphage	136969	0	12.6	5.3	136969	No	NA	244	8	11	Medium-quality	Genome-fragment	75.63	HMM-based (lower-bound)	0	1	NA
A1	bin.unbinned	NODE_16_length_136379_cov_11.854479||full	1	dsDNAphage	136324	3	16.9	4.5	136324	No	NA	244	14	9	Medium-quality	Genome-fragment	87.56	HMM-based (lower-bound)	0	1	NA
B1	bin.unbinned	NODE_14_length_134784_cov_106.147637||full	1	dsDNAphage	134729	2	18.8	0	134729	No	NA	209	10	4	Medium-quality	Genome-fragment	89.35	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_89_length_134784_cov_665.913129||full	1	dsDNAphage	134729	2	18.8	0	134729	No	NA	208	10	4	Medium-quality	Genome-fragment	89.35	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_174_length_134521_cov_600.565444||full	1	dsDNAphage	134251	2	18.8	0	134251	No	NA	208	10	4	Medium-quality	Genome-fragment	89.26	HMM-based (lower-bound)	0	1	NA
A3	bin.082	NODE_14_length_133522_cov_7.514569||full	0.987	dsDNAphage	133467	2	12.8	3.3	133467	No	NA	213	7	6	Medium-quality	Genome-fragment	80.96	HMM-based (lower-bound)	0	1	NA
C2	bin.014	NODE_176_length_134331_cov_17.814457||full	0.953	dsDNAphage	133463	6	32.3	9.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C2	bin.unbinned	NODE_177_length_133863_cov_79.116847||full	1	dsDNAphage	133030	1	21	3.3	133030	No	NA	211	13	3	Medium-quality	Genome-fragment	82.58	HMM-based (lower-bound)	0	1	NA
B1	bin.unbinned	NODE_15_length_134642_cov_13.571296||full	0.88	dsDNAphage	132897	0	13.1	2.2	132897	No	NA	272	15	0	Medium-quality	Genome-fragment	75.27	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_90_length_134671_cov_74.528711||full	0.88	dsDNAphage	132618	0	13.1	2.2	132618	No	NA	271	15	0	Medium-quality	Genome-fragment	75.11	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_173_length_134583_cov_26.301023||full	0.88	dsDNAphage	132618	0	13.1	2.2	132618	No	NA	271	15	0	Medium-quality	Genome-fragment	75.11	HMM-based (lower-bound)	0	1	NA
C1	bin.unbinned	NODE_33_length_133768_cov_36.018659||full	1	dsDNAphage	132400	2	18.8	0	132400	No	NA	223	9	4	Medium-quality	Genome-fragment	89.69	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_94_length_130859_cov_10.260619||full	1	dsDNAphage	130804	5	30.4	1.7	130804	No	NA	227	31	4	High-quality	High-quality	96.52	AAI-based (medium-confidence)	0	1	NA
B2	bin.unbinned	NODE_97_length_129605_cov_13.261459||full	0.933	dsDNAphage	128848	2	21.7	5.9	128848	No	NA	203	24	9	High-quality	High-quality	98.8	AAI-based (high-confidence)	0	1	NA
B2	bin.unbinned	NODE_99_length_128401_cov_7.493689||full	1	dsDNAphage	128400	2	17.5	3.2	128400	No	NA	217	13	2	Medium-quality	Genome-fragment	65.6	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_193_length_127964_cov_8.325255||full	1	dsDNAphage	127962	1	24.9	2	127962	No	NA	201	22	9	Medium-quality	Genome-fragment	82.89	HMM-based (lower-bound)	0	1	NA
C2	bin.129	NODE_197_length_127136_cov_6.141123||full	0.933	dsDNAphage	127134	0	10.2	2.9	127134	No	NA	264	9	21	Medium-quality	Genome-fragment	61.61	HMM-based (lower-bound)	0	1	NA
B2	bin.100	NODE_101_length_126663_cov_6.812666||full	0.98	dsDNAphage	126660	4	17.5	4	126660	No	NA	204	18	4	Medium-quality	Genome-fragment	88.83	HMM-based (lower-bound)	0	1	NA
A3	bin.ubinned	NODE_16_length_126620_cov_19.773263||full	0.953	dsDNAphage	126553	3	15.1	5.7	126553	No	NA	245	22	9	High-quality	High-quality	96.96	HMM-based (lower-bound)	0	1	NA
A1	bin.064	NODE_26_length_126294_cov_14.010639||full	0.86	dsDNAphage	126290	7	29.9	20.1	126290	Yes	54111	145	12	47	Medium-quality	Genome-fragment	84.13	HMM-based (lower-bound)	57.15	1	NA
C2	bin.unbinned	NODE_198_length_125847_cov_7.305123||full	0.96	dsDNAphage	125844	1	10.1	3.8	125844	Yes	123258	271	13	5	Low-quality	Genome-fragment	33.37	AAI-based (high-confidence)	2.05	1	NA
B2	bin.unbinned	NODE_103_length_125211_cov_9.677818||full	1	dsDNAphage	125163	4	18.4	1	125163	No	NA	211	17	3	High-quality	High-quality	93.25	HMM-based (lower-bound)	0	1	NA
C2	bin.112	NODE_2_length_948369_cov_133.682029||0_partial	0.9	dsDNAphage	124948	11	25.4	35.2	124948	Yes	38542	130	24	64	Complete	High-quality	100	Provirus (high-confidence)	69.15	1	contig >1.5x longer than expected genome length
B2	bin.123	NODE_109_length_122885_cov_34.592648||full	0.947	dsDNAphage	122884	4	27	3.4	122884	No	NA	147	13	8	Low-quality	Genome-fragment	25.82	AAI-based (medium-confidence)	0	1	NA
B2	bin.unbinned	NODE_112_length_120998_cov_5.817691||full	1	dsDNAphage	120943	11	28	3	120943	No	NA	167	28	3	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
C2	bin.unbinned	NODE_210_length_120992_cov_7.242540||full	1	dsDNAphage	120937	11	28	3	120937	No	NA	166	28	3	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
C2	bin.unbinned	NODE_212_length_120838_cov_6.140218||full	1	dsDNAphage	120728	4	25.4	2.2	120728	No	NA	186	23	5	Medium-quality	Genome-fragment	88.61	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_213_length_120514_cov_19.566641||full	0.993	dsDNAphage	120473	3	28.3	2.5	120473	No	NA	202	14	7	Low-quality	Genome-fragment	33.46	AAI-based (high-confidence)	0	1	NA
B2	bin.096	NODE_115_length_120627_cov_7.130014||full	0.933	dsDNAphage	120308	7	15.9	4.7	120308	No	NA	189	12	4	Medium-quality	Genome-fragment	55.5	HMM-based (lower-bound)	0	1	NA
B2	bin.066	NODE_118_length_119682_cov_6.306896||full	0.92	dsDNAphage	119682	7	28.4	6.5	119682	Yes	107969	155	18	18	Low-quality	Genome-fragment	48.08	HMM-based (lower-bound)	9.79	1	NA
B2	bin.unbinned	NODE_120_length_119263_cov_5.494170||full	0.987	dsDNAphage	119117	1	23.8	0.6	119117	No	NA	160	10	5	Medium-quality	Genome-fragment	58.9	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_217_length_118370_cov_7.279525||full	1	dsDNAphage	118338	1	15	2.1	118338	No	NA	269	8	4	Medium-quality	Genome-fragment	68.42	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_222_length_116555_cov_11.098773||full	1	dsDNAphage	116553	8	27.3	1.7	116553	No	NA	177	18	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
C2	bin.unbinned	NODE_226_length_116288_cov_8.776260||full	0.813	dsDNAphage	116287	0	12.3	2.4	116287	No	NA	210	12	3	Medium-quality	Genome-fragment	69.41	HMM-based (lower-bound)	0	1.01	NA
B2	bin.unbinned	NODE_134_length_116286_cov_8.262959||full	1	dsDNAphage	116231	4	24.9	1.1	116231	No	NA	192	23	5	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
C2	bin.unbinned	NODE_227_length_116118_cov_5.581021||full	1	dsDNAphage	116117	10	31.6	0.6	116117	No	NA	154	24	1	Medium-quality	Genome-fragment	72.01	AAI-based (medium-confidence)	0	1	NA
B1	bin.unbinned	NODE_21_length_116131_cov_9.677591||full	1	dsDNAphage	116076	3	21.6	0.6	116076	No	NA	163	17	3	High-quality	High-quality	94.35	HMM-based (lower-bound)	0	1	NA
C2	bin.047	NODE_228_length_116077_cov_7.548405||full	1	dsDNAphage	116045	3	21.7	0.6	116045	No	NA	162	17	3	High-quality	High-quality	94.34	HMM-based (lower-bound)	0	1	NA
A3	bin.079	NODE_24_length_115700_cov_9.875455||full	1	dsDNAphage	115645	3	20.8	2.7	115645	No	NA	184	18	5	Medium-quality	Genome-fragment	87.45	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_231_length_115040_cov_14.505405||full	0.993	dsDNAphage	114941	3	29.8	3	114941	No	NA	170	18	8	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
C2	bin.unbinned	NODE_233_length_114831_cov_11.987889||full	0.98	dsDNAphage	114776	5	16.8	6.1	114776	No	NA	180	14	9	High-quality	High-quality	90.59	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_234_length_114682_cov_19.919722||full	0.767	dsDNAphage	114587	0	9.3	0.9	114587	No	NA	203	2	5	Medium-quality	Genome-fragment	67.46	HMM-based (lower-bound)	0	1	NA
C1	bin.008	NODE_39_length_116345_cov_25.144114||full	0.887	dsDNAphage	113913	11	33.6	21.9	113913	Yes	34045	127	20	56	Medium-quality	Genome-fragment	57.7	HMM-based (lower-bound)	70.11	1	NA
B2	bin.unbinned	NODE_139_length_113762_cov_6.164220||full	1	dsDNAphage	113759	8	34.5	1.3	113759	No	NA	230	36	1	Low-quality	Genome-fragment	46.94	AAI-based (medium-confidence)	0	1	NA
C2	bin.108	NODE_236_length_113702_cov_28.341091||full	0.92	dsDNAphage	113515	16	25	13.9	113515	Yes	62827	144	28	33	Complete	High-quality	100	Provirus (high-confidence)	44.65	1	NA
B2	bin.unbinned	NODE_136_length_114865_cov_27.078234||full	0.967	dsDNAphage	113510	4	16.3	4.2	113510	No	NA	168	12	6	High-quality	High-quality	92.57	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_242_length_112252_cov_11.014715||full	0.88	dsDNAphage	112180	0	7.5	3	112180	No	NA	200	3	6	Medium-quality	Genome-fragment	73.7	HMM-based (lower-bound)	0	1	NA
C1	bin.001	NODE_3_length_459554_cov_23.079332||0_partial	0.913	dsDNAphage	111045	11	29.7	33.9	111045	Yes	38542	118	24	54	Complete	High-quality	100	Provirus (high-confidence)	65.29	1	contig >1.5x longer than expected genome length
C2	bin.unbinned	NODE_246_length_111021_cov_7.122857||full	0.987	dsDNAphage	110966	4	24.7	1.3	110966	No	NA	159	12	1	Medium-quality	Genome-fragment	80.56	HMM-based (lower-bound)	0	1	NA
A3	bin.026	NODE_27_length_109374_cov_5.962733||full	0.967	dsDNAphage	109370	3	15.3	3.7	109370	No	NA	191	10	5	High-quality	High-quality	90.68	AAI-based (medium-confidence)	0	1	NA
C2	bin.unbinned	NODE_256_length_109386_cov_9.015860||full	0.98	dsDNAphage	109331	5	16.4	1	109331	No	NA	197	10	0	Medium-quality	Genome-fragment	76.92	HMM-based (lower-bound)	0	1	NA
B2	bin.158	NODE_147_length_109806_cov_7.295642||full	0.913	dsDNAphage	109309	6	23.8	2.3	109309	Yes	106975	130	18	4	Medium-quality	Genome-fragment	66.62	AAI-based (medium-confidence)	2.14	1.01	NA
B2	bin.unbinned	NODE_153_length_108770_cov_8.815628||full	0.927	dsDNAphage	108768	5	15.8	7	108768	Yes	94885	159	13	9	Medium-quality	Genome-fragment	85.77	HMM-based (lower-bound)	12.76	1.01	NA
C1	bin.008	NODE_9_length_318351_cov_27.959192||0_partial	0.9	dsDNAphage	107617	9	31.8	27.1	107617	Yes	42929	117	25	56	High-quality	High-quality	91.35	AAI-based (medium-confidence)	60.11	1	contig >1.5x longer than expected genome length
C2	bin.unbinned	NODE_265_length_107151_cov_7.093813||full	0.98	dsDNAphage	107135	2	21.3	1.3	107135	No	NA	156	12	4	Medium-quality	Genome-fragment	66.96	HMM-based (lower-bound)	0	1	low-confidence DTR
A3	bin.ubinned	NODE_29_length_106732_cov_9.486665||full	1	dsDNAphage	106677	3	23.3	2.7	106677	No	NA	151	14	3	High-quality	High-quality	96.21	AAI-based (medium-confidence)	0	1	NA
C2	bin.unbinned	NODE_266_length_106873_cov_8.117836||full	1	dsDNAphage	106488	11	26.6	1	106488	No	NA	192	28	1	High-quality	High-quality	92.81	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_272_length_105829_cov_9.215970||full	1	dsDNAphage	105814	2	20.9	2.5	105814	No	NA	158	8	6	Medium-quality	Genome-fragment	88.63	AAI-based (medium-confidence)	0	1	NA
A3	bin.ubinned	NODE_30_length_105728_cov_27.545797||full	0.987	dsDNAphage	105673	3	21.8	2.6	105673	No	NA	158	16	2	Medium-quality	Genome-fragment	82.15	HMM-based (lower-bound)	0	1	NA
B2	bin.095	NODE_158_length_105767_cov_10.267765||full	0.833	dsDNAphage	105671	0	10.1	0.6	105671	No	NA	178	4	4	Medium-quality	Genome-fragment	59.27	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_159_length_105683_cov_23.367762||full	0.98	dsDNAphage	105628	5	22.2	1.7	105628	No	NA	178	25	2	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA
C2	bin.007	NODE_276_length_105418_cov_6.904188||full	0.993	dsDNAphage	105417	3	26.9	0.5	105417	No	NA	187	18	2	Medium-quality	Genome-fragment	60.13	AAI-based (medium-confidence)	0	1	NA
C2	bin.107	NODE_275_length_105465_cov_6.835556||full	0.987	dsDNAphage	105375	2	12.9	1.7	105375	No	NA	179	9	7	Medium-quality	Genome-fragment	57.47	HMM-based (lower-bound)	0	1	NA
C2	bin.138	NODE_280_length_104856_cov_11.912329||full	1	dsDNAphage	104856	7	29.2	1.5	104856	No	NA	204	26	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1.09	contig >1.5x longer than expected genome length
B2	bin.unbinned	NODE_163_length_104820_cov_19.946366||full	0.987	dsDNAphage	104480	2	12.6	1.9	104480	No	NA	215	7	5	Medium-quality	Genome-fragment	57.56	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_165_length_104306_cov_6.966763||full	0.98	dsDNAphage	104272	7	32.6	4.3	104272	No	NA	138	23	4	Medium-quality	Genome-fragment	69.9	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_281_length_104820_cov_15.188517||full	1	dsDNAphage	104077	9	24.9	2.6	104077	No	NA	190	21	6	Medium-quality	Genome-fragment	77.16	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_168_length_103640_cov_6.293373||full	0.987	dsDNAphage	103517	19	36.6	2.3	103517	No	NA	173	45	2	Medium-quality	Genome-fragment	59.44	AAI-based (medium-confidence)	0	1	NA
C2	bin.085	NODE_277_length_105136_cov_7.035325||full	0.833	dsDNAphage	103497	0	17.2	5.2	103497	No	NA	189	10	4	Medium-quality	Genome-fragment	88.38	HMM-based (lower-bound)	0	1	NA
A3	bin.ubinned	NODE_33_length_101900_cov_11.981649||full	0.993	dsDNAphage	101899	2	26.5	3.8	101899	No	NA	185	29	1	High-quality	High-quality	91.48	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_172_length_102087_cov_9.657098||full	0.967	dsDNAphage	101829	3	20.7	1.4	101829	No	NA	146	11	0	Medium-quality	Genome-fragment	83.79	HMM-based (lower-bound)	0	1	NA
A3	bin.ubinned	NODE_35_length_101636_cov_10.010258||full	1	dsDNAphage	101633	4	23.7	1.2	101633	No	NA	170	20	3	Medium-quality	Genome-fragment	63.9	HMM-based (lower-bound)	0	1	NA
B2	bin.042	NODE_175_length_101046_cov_5.610094||full	1	dsDNAphage	101044	2	28	3.8	101044	No	NA	132	14	4	High-quality	High-quality	99.46	AAI-based (high-confidence)	0	1	NA
C2	bin.unbinned	NODE_290_length_101080_cov_7.183766||full	1	dsDNAphage	100717	2	28.2	3.9	100717	No	NA	131	14	4	High-quality	High-quality	99.13	AAI-based (high-confidence)	0	1	NA
C2	bin.unbinned	NODE_296_length_99961_cov_18.962405||full	0.967	dsDNAphage	99960	4	17.3	4.3	99960	No	NA	162	17	3	High-quality	High-quality	97.19	AAI-based (medium-confidence)	0	1	NA
C2	bin.unbinned	NODE_297_length_99928_cov_8.334265||full	1	dsDNAphage	99928	3	23.2	3.2	99928	No	NA	126	12	2	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA
C2	bin.014	NODE_299_length_99527_cov_22.021051||full	0.953	dsDNAphage	99169	6	31	17.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B2	bin.052	NODE_184_length_99103_cov_12.889660||full	0.987	dsDNAphage	99102	3	16.8	1.2	99102	No	NA	157	12	1	Medium-quality	Genome-fragment	78.26	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_302_length_99052_cov_5.086275||full	0.96	dsDNAphage	98915	7	21.6	4.1	98915	No	NA	148	7	4	Medium-quality	Genome-fragment	88.56	AAI-based (medium-confidence)	0	1	NA
C2	bin.047	NODE_304_length_98373_cov_6.032954||full	0.993	dsDNAphage	98312	5	20.4	2.2	98312	No	NA	181	10	4	Medium-quality	Genome-fragment	72.82	HMM-based (lower-bound)	0	1	NA
C2	bin.104	NODE_306_length_98146_cov_10.565587||full	0.987	dsDNAphage	98091	3	16.9	1.2	98091	No	NA	156	13	1	Medium-quality	Genome-fragment	77.38	HMM-based (lower-bound)	0	1	NA
B2	bin.042	NODE_188_length_97482_cov_6.829585||full	0.993	dsDNAphage	97480	2	22.5	2.6	97480	No	NA	151	18	3	Medium-quality	Genome-fragment	80.22	HMM-based (lower-bound)	0	1	NA
