contig_id	max_score	max_score_group	length	hallmark	viral	cellular	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
Contig90872219||full	1	dsDNAphage	128397	2	17.1	3.2	128397	No	NA	217	13	2	Medium-quality	Genome-fragment	65.6	HMM-based (lower-bound)	0	1	NA
Contig124893723||full	1	dsDNAphage	127980	1	25	2	127980	No	NA	200	22	9	Medium-quality	Genome-fragment	82.9	HMM-based (lower-bound)	0	1	NA
Contig152093589||full	0.98	dsDNAphage	127964	5	23.9	2.7	127964	No	NA	226	24	7	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA
Contig148059664||full	0.8	dsDNAphage	127452	7	29.5	34.1	127452	Yes	37625	131	23	62	Medium-quality	Genome-fragment	59.98	AAI-based (medium-confidence)	70.48	1	contig >1.5x longer than expected genome length
Contig54626872||full	1	dsDNAphage	126911	1	35.2	3.4	126911	No	NA	179	11	10	Medium-quality	Genome-fragment	84.4	AAI-based (medium-confidence)	0	1	NA
Contig25738071||full	0.993	dsDNAphage	125319	3	15.2	0.4	125319	No	NA	223	14	5	Medium-quality	Genome-fragment	80.96	HMM-based (lower-bound)	0	1	NA
Contig71648242||full	1	dsDNAphage	125163	4	18.4	1	125163	No	NA	208	17	3	High-quality	High-quality	93.25	HMM-based (lower-bound)	0	1	NA
Contig112642024||full	1	dsDNAphage	120937	11	28	3	120937	No	NA	169	27	5	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig3478317||full	0.987	dsDNAphage	120772	1	25.8	1.3	120772	No	NA	155	9	5	Medium-quality	Genome-fragment	58.4	HMM-based (lower-bound)	0	1	NA
Contig105806288||full	0.987	dsDNAphage	120593	4	21.1	0.5	120593	No	NA	185	17	9	Medium-quality	Genome-fragment	50.69	HMM-based (lower-bound)	0	1	NA
Contig49617118||full	0.98	dsDNAphage	119513	6	26.2	5.4	119513	No	NA	168	15	9	Medium-quality	Genome-fragment	64.25	HMM-based (lower-bound)	0	1	NA
Contig21073728||full	0.933	dsDNAphage	118523	7	21.3	4.9	118523	No	NA	183	13	4	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig155489168||full	1	dsDNAphage	118119	17	50.5	2.2	118119	No	NA	182	57	3	Medium-quality	Genome-fragment	63.46	AAI-based (medium-confidence)	0	1	NA
Contig52159389||full	0.587	dsDNAphage	117300	2	14.3	14.3	117300	No	NA	124	1	67	High-quality	High-quality	100	HMM-based (lower-bound)	0	1	NA
Contig26800274||full	0.98	dsDNAphage	117181	5	28.9	4.6	117181	No	NA	173	20	9	Medium-quality	Genome-fragment	52.47	HMM-based (lower-bound)	0	1	NA
Contig72725832||full	1	dsDNAphage	116069	1	18	1.1	116069	No	NA	183	10	1	Medium-quality	Genome-fragment	61.58	HMM-based (lower-bound)	0	1	NA
Contig13181563||full	1	dsDNAphage	116021	3	21.7	0.6	116021	No	NA	162	17	3	High-quality	High-quality	94.34	HMM-based (lower-bound)	0	1	NA
Contig76805676||full	0.993	dsDNAphage	115951	5	29.2	1.9	115951	No	NA	155	16	3	High-quality	High-quality	94.15	HMM-based (lower-bound)	0	1	NA
Contig22318712||full	1	dsDNAphage	115645	3	20.8	2.7	115645	No	NA	184	18	5	Medium-quality	Genome-fragment	87.45	HMM-based (lower-bound)	0	1	NA
Contig126378795||full	0.993	dsDNAphage	115273	3	29.8	3	115273	Yes	104458	168	18	8	High-quality	High-quality	97.57	AAI-based (medium-confidence)	9.38	1	NA
Contig88132264||full	0.993	dsDNAphage	115219	11	23.8	3.5	115219	No	NA	144	19	1	Medium-quality	Genome-fragment	71.37	HMM-based (lower-bound)	0	1	NA
Contig91243410||full	0.96	dsDNAphage	114408	5	16.7	6.1	114408	No	NA	180	14	9	High-quality	High-quality	90.53	HMM-based (lower-bound)	0	1	NA
Contig125854478||full	0.933	dsDNAphage	113992	4	16.1	4.8	113992	No	NA	168	12	7	High-quality	High-quality	92.68	HMM-based (lower-bound)	0	1	NA
Contig153672807||full	0.587	dsDNAphage	113956	2	22.5	20	113956	No	NA	102	0	66	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
Contig153305335||full	0.967	dsDNAphage	113919	2	16.8	5.2	113919	No	NA	173	10	2	High-quality	High-quality	95.42	HMM-based (lower-bound)	0	1	NA
Contig83599174||0_partial	0.9	dsDNAphage	113610	10	27.8	28.5	113610	Yes	39913	139	34	51	Complete	High-quality	100	Provirus (high-confidence)	64.87	1	contig >1.5x longer than expected genome length
Contig66083496||full	0.993	dsDNAphage	113188	10	27.5	2.7	113188	No	NA	182	22	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig60737445||full	0.987	dsDNAphage	110786	4	24.2	1.3	110786	No	NA	158	12	1	Medium-quality	Genome-fragment	80.48	HMM-based (lower-bound)	0	1	NA
Contig64802180||full	1	dsDNAphage	110631	5	31.5	2.5	110631	No	NA	162	11	1	Medium-quality	Genome-fragment	87.77	HMM-based (lower-bound)	0	1	NA
Contig34538069||full	0.953	dsDNAphage	110254	3	15.5	5.3	110254	No	NA	206	22	8	High-quality	High-quality	95.24	HMM-based (lower-bound)	0	1	NA
Contig73771185||full	1	dsDNAphage	110133	3	32.7	0.7	110133	No	NA	147	25	3	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA
Contig71277468||full	0.993	dsDNAphage	109331	5	16.5	1	109331	No	NA	194	10	0	Medium-quality	Genome-fragment	76.92	HMM-based (lower-bound)	0	1	NA
Contig14903753||full	0.993	dsDNAphage	109071	15	35.4	1.9	109071	No	NA	161	35	4	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA
Contig129454637||full	0.967	dsDNAphage	108065	4	31.3	5.1	108065	No	NA	99	15	5	Medium-quality	Genome-fragment	56.17	HMM-based (lower-bound)	0	1	NA
Contig27345586||full	0.967	dsDNAphage	107636	2	12.6	1.8	107636	No	NA	223	3	6	Medium-quality	Genome-fragment	88.6	AAI-based (high-confidence)	0	1	NA
Contig52203018||full	0.993	dsDNAphage	106896	2	12.6	1.6	106896	No	NA	182	9	7	Medium-quality	Genome-fragment	58.3	HMM-based (lower-bound)	0	1	NA
Contig7162542||full	1	dsDNAphage	106572	3	23.3	2.7	106572	No	NA	150	14	3	High-quality	High-quality	96.1	AAI-based (medium-confidence)	0	1	NA
Contig153535758||full	0.54	dsDNAphage	106542	0	33.3	11.1	106542	No	NA	92	0	57	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
Contig35283177||full	1	dsDNAphage	106488	11	26.4	1	106488	No	NA	193	28	1	High-quality	High-quality	92.81	HMM-based (lower-bound)	0	1	NA
Contig96284855||full	0.98	dsDNAphage	105644	3	21.9	2.6	105644	No	NA	155	15	2	Medium-quality	Genome-fragment	82.14	HMM-based (lower-bound)	0	1	NA
Contig124541541||full	1	dsDNAphage	105522	4	26.2	2.5	105522	No	NA	160	21	2	High-quality	High-quality	99.14	AAI-based (medium-confidence)	0	1	NA
Contig116945720||full	1	dsDNAphage	104948	5	29.2	1.4	104948	No	NA	144	18	3	High-quality	High-quality	98	AAI-based (medium-confidence)	0	1	NA
Contig25904621||full	0.827	dsDNAphage	104543	0	10.1	0.6	104543	No	NA	178	4	4	Medium-quality	Genome-fragment	58.63	HMM-based (lower-bound)	0	1	NA
Contig2567248||full	0.987	dsDNAphage	104525	2	12.6	1.9	104525	No	NA	214	7	5	Medium-quality	Genome-fragment	57.59	HMM-based (lower-bound)	0	1	NA
Contig51660653||full	1	dsDNAphage	104077	9	24.9	2.6	104077	No	NA	189	21	6	Medium-quality	Genome-fragment	77.16	HMM-based (lower-bound)	0	1	NA
Contig75321901||full	1	dsDNAphage	104015	5	26.8	3.2	104015	No	NA	157	23	2	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	contig >1.5x longer than expected genome length
Contig46548736||full	0.94	dsDNAphage	102415	16	26.3	13.5	102415	Yes	63055	133	28	25	Complete	High-quality	100	Provirus (high-confidence)	38.43	1	NA
Contig12429633||full	0.973	dsDNAphage	102167	3	22.4	0.7	102167	No	NA	134	17	2	Medium-quality	Genome-fragment	78.15	HMM-based (lower-bound)	0	1	NA
Contig4030186||full	0.967	dsDNAphage	101694	3	20.1	1.4	101694	No	NA	144	11	0	Medium-quality	Genome-fragment	83.74	HMM-based (lower-bound)	0	1	NA
Contig41878692||full	1	dsDNAphage	101320	4	23.2	1.2	101320	No	NA	169	19	3	Medium-quality	Genome-fragment	63.75	HMM-based (lower-bound)	0	1	NA
Contig143017491||full	1	dsDNAphage	101125	1	20.1	5.2	101125	No	NA	174	9	5	Medium-quality	Genome-fragment	80.23	HMM-based (lower-bound)	0	1	NA
Contig68663813||full	1	dsDNAphage	101031	4	17	0.6	101031	No	NA	171	14	2	Medium-quality	Genome-fragment	78.35	HMM-based (lower-bound)	0	1	NA
Contig52811492||full	0.947	dsDNAphage	100958	1	14.5	6.1	100958	No	NA	155	6	17	Medium-quality	Genome-fragment	56.81	HMM-based (lower-bound)	0	1	NA
Contig79102250||full	1	dsDNAphage	100796	2	28.2	3.9	100796	No	NA	131	14	4	High-quality	High-quality	99.21	AAI-based (high-confidence)	0	1	NA
Contig3478318||full	1	dsDNAphage	100287	2	28.6	0.8	100287	No	NA	126	9	4	Low-quality	Genome-fragment	47.34	AAI-based (medium-confidence)	0	1	NA
Contig52397181||full	1	dsDNAphage	100078	3	23	3.2	100078	No	NA	126	13	2	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA
Contig119861216||full	0.993	dsDNAphage	99950	1	16.3	2.7	99950	No	NA	147	8	2	Medium-quality	Genome-fragment	70.04	HMM-based (lower-bound)	0	1	NA
Contig27984525||full	1	dsDNAphage	99623	8	31.3	2.2	99623	No	NA	134	25	3	Medium-quality	Genome-fragment	60.98	AAI-based (medium-confidence)	0	1	NA
Contig51191572||full	1	dsDNAphage	98873	2	25	3.6	98873	No	NA	136	9	4	High-quality	High-quality	91.24	HMM-based (lower-bound)	0	1	NA
Contig62897875||full	0.927	dsDNAphage	98841	8	39.5	5.6	98841	No	NA	124	25	7	Low-quality	Genome-fragment	24.13	AAI-based (medium-confidence)	0	1	NA
Contig35743087||full	1	dsDNAphage	98600	2	17.4	2.6	98600	No	NA	155	10	3	High-quality	High-quality	90.2	HMM-based (lower-bound)	0	1	NA
Contig47317870||full	0.993	dsDNAphage	97838	3	17.3	1.2	97838	No	NA	156	13	1	Medium-quality	Genome-fragment	77.28	HMM-based (lower-bound)	0	1	NA
Contig116975703||full	1	dsDNAphage	97366	2	22.7	2.7	97366	No	NA	150	18	3	Medium-quality	Genome-fragment	80.18	HMM-based (lower-bound)	0	1	NA
Contig140794512||full	0.92	dsDNAphage	97002	7	28	18.9	97002	Yes	52553	131	26	34	Medium-quality	Genome-fragment	72.11	HMM-based (lower-bound)	45.82	1	NA
Contig141813424||full	0.733	dsDNAphage	96762	0	26.1	2.2	96762	No	NA	170	8	17	Low-quality	Genome-fragment	38.44	HMM-based (lower-bound)	0	1	NA
Contig48493721||full	0.993	dsDNAphage	96457	6	24.1	2.5	96457	No	NA	158	17	0	High-quality	High-quality	91.3	HMM-based (lower-bound)	0	1	NA
Contig83662265||full	1	dsDNAphage	96051	11	57	0	96051	No	NA	86	13	0	Medium-quality	Genome-fragment	79.11	AAI-based (medium-confidence)	0	1	NA
Contig60208693||full	0.98	dsDNAphage	95496	3	21.5	3.5	95496	No	NA	144	16	2	High-quality	High-quality	99.88	AAI-based (high-confidence)	0	1	NA
Contig91158033||full	0.993	dsDNAphage	95492	6	31.1	0.7	95492	No	NA	135	14	4	Medium-quality	Genome-fragment	78.99	HMM-based (lower-bound)	0	1	NA
Contig90179451||full	0.993	dsDNAphage	95481	2	20.9	2.3	95481	Yes	92975	129	12	4	High-quality	High-quality	90.37	HMM-based (lower-bound)	2.62	1	NA
Contig50535847||full	0.96	dsDNAphage	95307	7	37.2	10.6	95307	Yes	53208	113	12	23	Complete	High-quality	100	Provirus (high-confidence)	44.17	1	contig >1.5x longer than expected genome length
Contig39575756||full	0.973	dsDNAphage	94780	0	11.1	1.9	94780	No	NA	216	4	5	Medium-quality	Genome-fragment	59	HMM-based (lower-bound)	0	1	NA
Contig28601442||full	0.993	dsDNAphage	94717	3	24.7	5.3	94717	No	NA	171	17	9	Medium-quality	Genome-fragment	80.8	HMM-based (lower-bound)	0	1	NA
Contig86274775||full	1	dsDNAphage	93879	9	44.4	1.9	93879	No	NA	162	46	2	Medium-quality	Genome-fragment	50.37	AAI-based (medium-confidence)	0	1	NA
Contig66738441||full	0.98	dsDNAphage	93636	2	19.2	2.6	93636	No	NA	157	12	4	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA
Contig22889031||full	0.987	dsDNAphage	93596	1	22	2	93596	No	NA	151	20	2	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA
Contig135205632||full	0.86	dsDNAphage	93527	6	20.9	10.4	93527	No	NA	67	0	23	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
Contig68584382||full	1	dsDNAphage	93486	3	25.7	2.2	93486	No	NA	136	13	7	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA
Contig95060634||full	1	dsDNAphage	93210	3	27.5	0.8	93210	No	NA	131	11	1	Medium-quality	Genome-fragment	75.89	HMM-based (lower-bound)	0	1	NA
Contig4335605||full	0.993	dsDNAphage	92875	1	24.4	1.2	92875	No	NA	168	12	3	Low-quality	Genome-fragment	43.11	AAI-based (high-confidence)	0	1	NA
Contig59425896||full	1	dsDNAphage	92554	10	40.7	2.8	92554	Yes	86127	145	24	7	High-quality	High-quality	92.86	AAI-based (medium-confidence)	6.94	1	NA
Contig137760289||full	1	dsDNAphage	92048	3	28.7	1.7	92048	No	NA	115	15	3	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig44715763||full	1	dsDNAphage	92038	10	33.3	2.8	92038	No	NA	142	16	8	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig46747145||full	1	dsDNAphage	91828	7	21.2	0.6	91828	No	NA	165	22	2	Medium-quality	Genome-fragment	87.55	AAI-based (high-confidence)	0	1	NA
Contig150998823||0_partial	0.92	dsDNAphage	91577	6	30.3	11.8	91577	Yes	52098	103	21	29	Low-quality	Genome-fragment	48.35	AAI-based (medium-confidence)	43.11	1	low-confidence Provirus
Contig117462305||full	1	dsDNAphage	91059	9	38.1	2.2	91059	No	NA	140	26	8	Complete	High-quality	100	DTR (high-confidence)	0	1	NA
Contig138363403||full	0.993	dsDNAphage	90902	3	26.3	2.5	90902	No	NA	156	22	1	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig41839793||full	0.993	dsDNAphage	90478	7	34	1.3	90478	No	NA	156	24	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	contig >1.5x longer than expected genome length
Contig115671543||full	1	dsDNAphage	90331	3	25.9	3.1	90331	No	NA	159	22	1	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig107845898||full	1	dsDNAphage	90306	2	24.6	1.8	90306	No	NA	114	18	0	Medium-quality	Genome-fragment	76.97	AAI-based (medium-confidence)	0	1	NA
Contig72725834||full	0.953	dsDNAphage	88129	9	18.4	3.5	88129	No	NA	114	15	2	Low-quality	Genome-fragment	38.72	HMM-based (lower-bound)	0	1	NA
Contig90762971||full	0.98	dsDNAphage	88123	3	20.9	0.8	88123	No	NA	129	10	2	Medium-quality	Genome-fragment	76	HMM-based (lower-bound)	0	1	NA
Contig63443838||full	0.987	dsDNAphage	87874	2	19.7	2.6	87874	No	NA	117	12	1	High-quality	High-quality	94.98	AAI-based (medium-confidence)	0	1	NA
Contig109876814||full	1	dsDNAphage	87613	4	46.1	0	87613	No	NA	102	18	3	Low-quality	Genome-fragment	47.72	AAI-based (medium-confidence)	0	1	NA
Contig56001564||full	1	dsDNAphage	87610	4	23.4	2.5	87610	No	NA	154	18	2	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig65405927||full	0.993	dsDNAphage	87298	5	26.3	2.5	87298	No	NA	118	14	2	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig142492740||full	1	dsDNAphage	87018	8	30.6	0.8	87018	No	NA	122	18	1	Medium-quality	Genome-fragment	58.55	HMM-based (lower-bound)	0	1	NA
Contig144259228||full	0.92	dsDNAphage	86695	0	19.4	1.9	86695	No	NA	149	14	4	Medium-quality	Genome-fragment	51.4	HMM-based (lower-bound)	0	1	NA
Contig147092959||full	0.92	dsDNAphage	86608	7	15.4	2.6	86608	No	NA	117	14	0	Medium-quality	Genome-fragment	84.43	HMM-based (lower-bound)	0	1	NA
Contig118345714||full	1	dsDNAphage	85996	10	46.5	0	85996	No	NA	129	38	3	Low-quality	Genome-fragment	21.75	AAI-based (medium-confidence)	0	1	NA
Contig78432571||full	1	dsDNAphage	85810	1	29.6	3	85810	No	NA	135	21	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig94954206||full	0.993	dsDNAphage	85269	2	38.6	2.6	85269	No	NA	153	16	10	Low-quality	Genome-fragment	38.84	HMM-based (lower-bound)	0	1	NA
Contig63635576||full	0.993	dsDNAphage	85189	1	19	1.3	85189	No	NA	159	14	2	High-quality	High-quality	98.34	AAI-based (medium-confidence)	0	1	NA
Contig138041035||full	0.96	dsDNAphage	85168	2	24.6	7.1	85168	No	NA	126	11	3	Low-quality	Genome-fragment	23.06	AAI-based (high-confidence)	0	1	NA
Contig125420783||full	0.987	dsDNAphage	84118	3	11.3	0.7	84118	No	NA	150	4	0	Low-quality	Genome-fragment	48.75	HMM-based (lower-bound)	0	1	NA
Contig107810590||full	1	dsDNAphage	84096	3	17.7	2.7	84096	No	NA	147	10	2	Medium-quality	Genome-fragment	88.02	AAI-based (medium-confidence)	0	1	NA
Contig4737508||full	0.973	dsDNAphage	83404	9	22	5.5	83404	No	NA	109	12	0	Medium-quality	Genome-fragment	68.76	HMM-based (lower-bound)	0	1	NA
Contig139997509||full	0.973	dsDNAphage	83353	6	26	2.3	83353	No	NA	132	20	3	Medium-quality	Genome-fragment	61.87	HMM-based (lower-bound)	0	1	NA
Contig105688658||full	1	dsDNAphage	83156	3	27	2.9	83156	No	NA	137	14	4	High-quality	High-quality	97.84	AAI-based (medium-confidence)	0	1	NA
Contig24899029||full	0.747	dsDNAphage	82614	0	14.5	2.4	82614	No	NA	140	5	2	Low-quality	Genome-fragment	48.09	HMM-based (lower-bound)	0	1	NA
Contig71049667||full	0.98	dsDNAphage	82457	5	20.6	3.7	82457	No	NA	137	13	5	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA
Contig118935906||full	1	dsDNAphage	82040	3	59.1	1.5	82040	Yes	80004	132	27	4	Low-quality	Genome-fragment	20.62	AAI-based (medium-confidence)	2.48	1	NA
Contig8743130||full	0.84	dsDNAphage	81579	5	13.9	12	81579	Yes	54594	108	11	12	High-quality	High-quality	95.06	AAI-based (medium-confidence)	33.08	1	NA
Contig95828655||full	0.987	dsDNAphage	81569	2	9.9	1.9	81569	No	NA	162	7	1	Low-quality	Genome-fragment	41.54	HMM-based (lower-bound)	0	1	NA
Contig23724930||full	0.993	dsDNAphage	81554	1	23.1	2.2	81554	No	NA	133	14	4	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig90514614||full	0.993	dsDNAphage	81482	1	26.4	3.8	81482	No	NA	106	11	2	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig62340153||full	1	dsDNAphage	81365	7	26.1	4.2	81365	No	NA	119	6	4	Medium-quality	Genome-fragment	79.3	AAI-based (medium-confidence)	0	1	NA
Contig62008141||full	0.72	dsDNAphage	80985	0	14.3	0	80985	No	NA	161	5	1	Low-quality	Genome-fragment	43.86	HMM-based (lower-bound)	0	1	NA
Contig50229537||full	0.987	dsDNAphage	80838	6	17.6	1.4	80838	No	NA	142	14	2	High-quality	High-quality	91.84	HMM-based (lower-bound)	0	1	NA
Contig43970657||full	0.98	dsDNAphage	80678	3	16	5.6	80678	No	NA	144	7	6	Medium-quality	Genome-fragment	75.37	HMM-based (lower-bound)	0	1	NA
Contig154531822||full	0.993	dsDNAphage	80094	7	30.7	3.1	80094	No	NA	127	21	5	Low-quality	Genome-fragment	42.8	HMM-based (lower-bound)	0	1	NA
Contig117868826||full	0.873	dsDNAphage	79836	0	12.1	3	79836	No	NA	165	10	1	Medium-quality	Genome-fragment	50.44	HMM-based (lower-bound)	0	1	NA
Contig130553796||full	0.993	dsDNAphage	79727	7	33.8	0	79727	No	NA	157	30	2	Medium-quality	Genome-fragment	83.93	HMM-based (lower-bound)	0	1	NA
Contig108419159||full	1	dsDNAphage	78876	8	27.3	1	78876	No	NA	99	4	0	Medium-quality	Genome-fragment	88.2	AAI-based (medium-confidence)	0	1	NA
Contig20597252||full	0.967	dsDNAphage	78837	2	14.2	0.9	78837	No	NA	106	7	3	Low-quality	Genome-fragment	43.15	HMM-based (lower-bound)	0	1	NA
