seqname	dsDNAphage	NCLDV	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
Contig4030186||full	0.967	0.34	0.013	0.38	0.967	dsDNAphage	101694	3	20.1	1.4
Contig41878692||full	1	0.067	0.02	0.007	1	dsDNAphage	101320	4	23.2	1.2
Contig143017491||full	1	0.267	0.013	0	1	dsDNAphage	101125	1	20.1	5.2
Contig68663813||full	1	0.293	0	0.027	1	dsDNAphage	101031	4	17	0.6
Contig52811492||full	0.947	0.033	0	0.06	0.947	dsDNAphage	100958	1	14.5	6.1
Contig79102250||full	1	0.24	0	0.007	1	dsDNAphage	100796	2	28.2	3.9
Contig3478318||full	1	0.12	0.013	0.04	1	dsDNAphage	100287	2	28.6	0.8
Contig52397181||full	1	0.147	0	0.133	1	dsDNAphage	100078	3	23	3.2
Contig119861216||full	0.993	0.027	0	0.007	0.993	dsDNAphage	99950	1	16.3	2.7
Contig27984525||full	1	0.107	0	0.007	1	dsDNAphage	99623	8	31.3	2.2
Contig51191572||full	1	0.327	0	0.013	1	dsDNAphage	98873	2	25	3.6
Contig62897875||full	0.927	0.36	0	0.1	0.927	dsDNAphage	98841	8	39.5	5.6
Contig35743087||full	1	0.073	0	0	1	dsDNAphage	98600	2	17.4	2.6
Contig47317870||full	0.993	0.5	0.013	0.127	0.993	dsDNAphage	97838	3	17.3	1.2
Contig116975703||full	1	0.093	0	0.007	1	dsDNAphage	97366	2	22.7	2.7
Contig140794512||full	0.92	0.013	0	0.007	0.92	dsDNAphage	97002	7	28	18.9
Contig141813424||full	0.733	0.38	0	0.067	0.733	dsDNAphage	96762	0	26.1	2.2
Contig48493721||full	0.993	0.267	0	0.007	0.993	dsDNAphage	96457	6	24.1	2.5
Contig83662265||full	1	0.58	0.353	0.827	1	dsDNAphage	96051	11	57	0
Contig60208693||full	0.98	0.093	0.007	0.007	0.98	dsDNAphage	95496	3	21.5	3.5
Contig91158033||full	0.993	0.753	0.013	0.24	0.993	dsDNAphage	95492	6	31.1	0.7
Contig90179451||full	0.993	0.127	0	0.007	0.993	dsDNAphage	95481	2	20.9	2.3
Contig50535847||full	0.96	0.26	0	0.347	0.96	dsDNAphage	95307	7	37.2	10.6
Contig39575756||full	0.973	0.133	0.073	0.007	0.973	dsDNAphage	94780	0	11.1	1.9
Contig28601442||full	0.993	0.5	0.02	0.087	0.993	dsDNAphage	94717	3	24.7	5.3
Contig86274775||full	1	0.247	0.013	0.107	1	dsDNAphage	93879	9	44.4	1.9
Contig66738441||full	0.98	0.1	0.013	0.18	0.98	dsDNAphage	93636	2	19.2	2.6
Contig22889031||full	0.987	0.187	0.02	0.22	0.987	dsDNAphage	93596	1	22	2
Contig135205632||full	0.86	0.013	0	0.007	0.86	dsDNAphage	93527	6	20.9	10.4
Contig68584382||full	1	0.087	0	0	1	dsDNAphage	93486	3	25.7	2.2
Contig95060634||full	1	0.413	0.053	0.427	1	dsDNAphage	93210	3	27.5	0.8
Contig4335605||full	0.993	0.093	0.04	0.027	0.993	dsDNAphage	92875	1	24.4	1.2
Contig59425896||full	1	0.053	0	0.04	1	dsDNAphage	92554	10	40.7	2.8
Contig137760289||full	1	0.287	0	0.013	1	dsDNAphage	92048	3	28.7	1.7
Contig44715763||full	1	0.06	0.02	0.013	1	dsDNAphage	92038	10	33.3	2.8
Contig46747145||full	1	0.58	0.027	0.06	1	dsDNAphage	91828	7	21.2	0.6
Contig150998823||0_partial	0.92	0.053	0	0.02	0.92	dsDNAphage	91577	6	30.3	11.8
Contig117462305||full	1	0.047	0.007	0.067	1	dsDNAphage	91059	9	38.1	2.2
Contig138363403||full	0.993	0.267	0.033	0.087	0.993	dsDNAphage	90902	3	26.3	2.5
Contig41839793||full	0.993	0.3	0.133	0.04	0.993	dsDNAphage	90478	7	34	1.3
Contig115671543||full	1	0.173	0.04	0.04	1	dsDNAphage	90331	3	25.9	3.1
Contig107845898||full	1	0.38	0.013	0.02	1	dsDNAphage	90306	2	24.6	1.8
Contig23243489||full	0.02	0.727	0	0	0.727	NCLDV	88290	1	5.2	1.7
Contig72725834||full	0.953	0.393	0.007	0.247	0.953	dsDNAphage	88129	9	18.4	3.5
Contig90762971||full	0.98	0.2	0	0.013	0.98	dsDNAphage	88123	3	20.9	0.8
Contig63443838||full	0.987	0.26	0.02	0.187	0.987	dsDNAphage	87874	2	19.7	2.6
Contig109876814||full	1	0.46	0.093	0.62	1	dsDNAphage	87613	4	46.1	0
Contig56001564||full	1	0.213	0.02	0.027	1	dsDNAphage	87610	4	23.4	2.5
Contig65405927||full	0.993	0.367	0.013	0.027	0.993	dsDNAphage	87298	5	26.3	2.5
Contig142492740||full	1	0.133	0.02	0.067	1	dsDNAphage	87018	8	30.6	0.8
Contig144259228||full	0.92	0	0.013	0.02	0.92	dsDNAphage	86695	0	19.4	1.9
Contig99155591||full	0.133	0.907	0	0	0.907	NCLDV	86666	1	13.8	5.1
Contig147092959||full	0.92	0.027	0	0	0.92	dsDNAphage	86608	7	15.4	2.6
Contig118345714||full	1	0.42	0.047	0.227	1	dsDNAphage	85996	10	46.5	0
Contig78432571||full	1	0.027	0.013	0.013	1	dsDNAphage	85810	1	29.6	3
Contig94954206||full	0.993	0.067	0.027	0.02	0.993	dsDNAphage	85269	2	38.6	2.6
Contig63635576||full	0.993	0.293	0.06	0.08	0.993	dsDNAphage	85189	1	19	1.3
Contig138041035||full	0.96	0.147	0	0.033	0.96	dsDNAphage	85168	2	24.6	7.1
Contig125420783||full	0.987	0.447	0.02	0	0.987	dsDNAphage	84118	3	11.3	0.7
Contig107810590||full	1	0.033	0	0	1	dsDNAphage	84096	3	17.7	2.7
Contig4737508||full	0.973	0.12	0.013	0.12	0.973	dsDNAphage	83404	9	22	5.5
Contig139997509||full	0.973	0.6	0	0.007	0.973	dsDNAphage	83353	6	26	2.3
Contig105688658||full	1	0.047	0.033	0.033	1	dsDNAphage	83156	3	27	2.9
Contig24899029||full	0.747	0.133	0	0.027	0.747	dsDNAphage	82614	0	14.5	2.4
Contig61333578||full	0.013	0.607	0	0.013	0.607	NCLDV	82570	1	4.9	3.7
Contig71049667||full	0.98	0.547	0	0	0.98	dsDNAphage	82457	5	20.6	3.7
Contig118935906||full	1	0.22	0.107	0.16	1	dsDNAphage	82040	3	59.1	1.5
Contig8743130||full	0.84	0	0	0	0.84	dsDNAphage	81579	5	13.9	12
Contig95828655||full	0.987	0.067	0.027	0.013	0.987	dsDNAphage	81569	2	9.9	1.9
Contig23724930||full	0.993	0.06	0.007	0.013	0.993	dsDNAphage	81554	1	23.1	2.2
Contig90514614||full	0.993	0.147	0.007	0.027	0.993	dsDNAphage	81482	1	26.4	3.8
Contig62340153||full	1	0.033	0.007	0.007	1	dsDNAphage	81365	7	26.1	4.2
Contig62008141||full	0.72	0.127	0.02	0.027	0.72	dsDNAphage	80985	0	14.3	0
Contig50229537||full	0.987	0.1	0.007	0.013	0.987	dsDNAphage	80838	6	17.6	1.4
Contig43970657||full	0.98	0.12	0	0	0.98	dsDNAphage	80678	3	16	5.6
Contig154531822||full	0.993	0.027	0.013	0.213	0.993	dsDNAphage	80094	7	30.7	3.1
Contig117868826||full	0.873	0.06	0.02	0	0.873	dsDNAphage	79836	0	12.1	3
Contig130553796||full	0.993	0.553	0.18	0.14	0.993	dsDNAphage	79727	7	33.8	0
Contig108419159||full	1	0.813	0.047	0.527	1	dsDNAphage	78876	8	27.3	1
Contig20597252||full	0.967	0.18	0	0	0.967	dsDNAphage	78837	2	14.2	0.9
Contig4142998||full	0.993	0.053	0.013	0.113	0.993	dsDNAphage	78833	6	34.7	2.1
Contig125776507||full	0.98	0.307	0	0	0.98	dsDNAphage	78393	3	21.9	2.1
Contig154183097||full	0.353	1	0.027	0.413	1	NCLDV	78100	1	31.7	1.2
Contig54252602||full	0.993	0.533	0	0.013	0.993	dsDNAphage	77991	5	23.3	4.3
Contig148546914||full	0.94	0.28	0.073	0.267	0.94	dsDNAphage	77958	0	26.6	1.6
Contig15611442||full	0.987	0.62	0.013	0.193	0.987	dsDNAphage	77891	2	21.1	0
Contig35224228||full	0.967	0.08	0	0	0.967	dsDNAphage	77682	3	20.9	3.3
Contig3124805||full	0.82	0.053	0.007	0	0.82	dsDNAphage	77537	0	11.9	3
Contig129454634||full	0.993	0.173	0	0.067	0.993	dsDNAphage	77155	1	27.6	7.1
Contig40043020||full	0.953	0.193	0	0.007	0.953	dsDNAphage	76860	3	21.6	3.1
Contig125058707||full	1	0.033	0	0	1	dsDNAphage	76847	2	29.6	5.2
Contig62008142||full	0.893	0.28	0.007	0.3	0.893	dsDNAphage	76580	3	16.7	2.8
Contig85364408||full	0.967	0.253	0.007	0.12	0.967	dsDNAphage	76156	2	36.7	3.3
Contig96803426||full	1	0.54	0.013	0.307	1	dsDNAphage	76020	6	34.5	1.8
Contig128667705||full	1	0.1	0.013	0.007	1	dsDNAphage	75599	7	23	2.2
Contig130269974||full	0.993	0.433	0.013	0.013	0.993	dsDNAphage	74788	6	28.2	2.7
Contig126857844||full	1	0.433	0.04	0.007	1	dsDNAphage	74645	9	34.7	2.5
Contig46659802||full	0.66	0.007	0	0	0.66	dsDNAphage	74564	0	16.7	8.3
Contig89850351||full	0.993	0.1	0.02	0.02	0.993	dsDNAphage	74493	15	28.9	2
Contig78200522||full	0.993	0.633	0.007	0.053	0.993	dsDNAphage	74463	4	32.4	1
Contig153703926||full	1	0.613	0.02	0.28	1	dsDNAphage	74447	1	27	1.7
Contig105039190||full	1	0.093	0.013	0.007	1	dsDNAphage	74409	8	34.9	1.8
Contig85853890||full	1	0.607	0.007	0.033	1	dsDNAphage	74178	5	26.8	0.9
Contig140003689||full	1	0.24	0.02	0.027	1	dsDNAphage	73917	3	28.6	1.2
Contig152826812||full	1	0.433	0	0.013	1	dsDNAphage	73596	8	42.2	2.2
Contig43289249||full	1	0.32	0.007	0.013	1	dsDNAphage	73595	16	39.2	3.3
Contig76235626||full	0.98	0.333	0	0.047	0.98	dsDNAphage	73401	6	32.7	2
Contig4335609||full	0.98	0.193	0	0.027	0.98	dsDNAphage	73285	11	25.4	1.6
Contig115269278||full	0.993	0.2	0.013	0.02	0.993	dsDNAphage	73016	6	27.1	1.9
Contig72143307||full	0.987	0.293	0	0	0.987	dsDNAphage	72773	2	14.9	2.6
Contig86749660||full	0.98	0.433	0.14	0.147	0.98	dsDNAphage	72352	4	34.9	0
Contig102488231||full	0.867	0.113	0.007	0.013	0.867	dsDNAphage	72118	0	13.5	3.8
Contig69422512||full	1	0.507	0.033	0.053	1	dsDNAphage	72091	11	47.3	1.1
Contig146717681||full	0.82	0.473	0.02	0.387	0.82	dsDNAphage	72036	0	33.3	3.3
Contig53353406||full	0.967	0.227	0.013	0.013	0.967	dsDNAphage	72017	2	26	2.1
Contig152112895||full	1	0.687	0	0.013	1	dsDNAphage	71967	4	14	0.8
Contig81721131||full	0.987	0.087	0.007	0.007	0.987	dsDNAphage	71792	1	18.5	4.6
Contig59592305||full	0.993	0.513	0.28	0.147	0.993	dsDNAphage	71747	4	33.9	0.9
Contig153579451||full	0.98	0.14	0	0	0.98	dsDNAphage	71698	7	34.7	9.5
Contig95166323||full	0.993	0.333	0.007	0	0.993	dsDNAphage	71325	2	17.1	1.8
Contig100641147||full	1	0.333	0.093	0.2	1	dsDNAphage	71153	7	45.1	1.8
Contig60261127||full	0.993	0.293	0.08	0.187	0.993	dsDNAphage	71040	2	39.8	0
Contig77229552||full	1	0.167	0	0.007	1	dsDNAphage	70770	6	34.7	10.2
Contig47034527||full	1	0.147	0	0	1	dsDNAphage	70504	4	23.4	1.9
Contig86750038||full	1	0.62	0.093	0.54	1	dsDNAphage	70362	1	28	0
Contig88964847||full	1	0.047	0	0.007	1	dsDNAphage	70269	2	22	3.7
Contig98220822||full	1	0.12	0.007	0.067	1	dsDNAphage	70119	4	31.2	2.7
Contig42194469||full	0.993	0.293	0.033	0.013	0.993	dsDNAphage	70043	1	23.6	2.4
Contig145882022||full	0.46	0.687	0.007	0.047	0.687	NCLDV	70041	0	44.2	0
Contig111354287||full	0.967	0.133	0	0.013	0.967	dsDNAphage	69963	2	19.4	3.1
Contig104058907||full	0.987	0.113	0.02	0.02	0.987	dsDNAphage	69779	5	23	1.6
Contig85678966||full	0.993	0.347	0.007	0.027	0.993	dsDNAphage	69777	7	19.3	1.6
Contig127134640||full	0.9	0.573	0.007	0	0.9	dsDNAphage	69740	0	19.2	5.4
Contig72777081||full	0.98	0.047	0	0	0.98	dsDNAphage	69529	2	12.9	3.2
Contig129338263||full	0.987	0.053	0.033	0.04	0.987	dsDNAphage	69480	3	18	2.5
Contig96963267||full	1	0.267	0.273	0.44	1	dsDNAphage	69390	25	47.1	0
Contig102651470||full	0.92	0.427	0.007	0.007	0.92	dsDNAphage	69270	0	14.5	5.3
Contig140328721||full	1	0.207	0.013	0.027	1	dsDNAphage	69259	1	23.8	5
Contig111413353||full	0.687	0.007	0	0.047	0.687	dsDNAphage	69013	5	24	32
Contig6975234||full	0.8	0.94	0.027	0.633	0.94	NCLDV	68982	1	47.9	5.6
Contig37529703||full	0.987	0.047	0	0.02	0.987	dsDNAphage	68952	5	21.6	4.1
Contig87324617||full	0.98	0.333	0.013	0.053	0.98	dsDNAphage	68872	2	31.9	2.6
Contig72788508||full	0.993	0.3	0.06	0.407	0.993	dsDNAphage	68735	13	37.8	0
Contig141948268||full	1	0.293	0.007	0.027	1	dsDNAphage	68683	12	29.9	0.9
Contig111382818||full	1	0.3	0.033	0.073	1	dsDNAphage	68513	5	37.4	1
Contig1197900||full	0.927	0.167	0	0.007	0.927	dsDNAphage	68442	0	17.6	2.9
Contig32388511||full	0.993	0.44	0.02	0.013	0.993	dsDNAphage	68337	1	20.5	1.8
Contig80458442||full	1	0.167	0	0.087	1	dsDNAphage	68012	1	17.9	0
Contig152795890||full	0.993	0.207	0.073	0.4	0.993	dsDNAphage	67898	2	24.7	2.1
Contig134492864||full	1	0.473	0.087	0.393	1	dsDNAphage	67856	3	41.7	0
Contig130269970||full	0.907	0.513	0.04	0.04	0.907	dsDNAphage	67840	0	16.3	0.7
Contig47844613||full	1	0.233	0.027	0.02	1	dsDNAphage	67772	8	33.6	2.6
Contig74446055||full	1	0.267	0.013	0.153	1	dsDNAphage	67359	6	44	0
Contig25304145||full	1	0.88	0.04	0.013	1	dsDNAphage	67147	5	38.2	1.1
Contig109678350||full	0.993	0.06	0	0.013	0.993	dsDNAphage	67137	4	37.1	7.6
Contig9022611||full	0.947	0.047	0.013	0	0.947	dsDNAphage	67080	6	14.7	5.5
Contig34238316||full	0.987	0.507	0	0.3	0.987	dsDNAphage	66826	1	14.8	0
Contig70635346||full	0.993	0.14	0	0.007	0.993	dsDNAphage	66777	3	18	1
Contig16082042||full	0.993	0.4	0.007	0.033	0.993	dsDNAphage	66776	9	31.2	2.1
Contig99453606||full	1	0.22	0.007	0.047	1	dsDNAphage	66695	9	27.4	0.9
Contig91422873||full	1	0.18	0	0.04	1	dsDNAphage	66694	4	31.8	3.4
Contig8766802||full	1	0.107	0.027	0.08	1	dsDNAphage	66686	2	23.3	0
Contig74359712||full	0.98	0.613	0.007	0.047	0.98	dsDNAphage	66615	5	40.4	2.1
Contig103393311||full	1	0.34	0.033	0.173	1	dsDNAphage	66564	9	39	0
Contig87520982||full	0.993	0.193	0.013	0.02	0.993	dsDNAphage	66544	8	35	2
Contig73622124||full	1	0.08	0.04	0.007	1	dsDNAphage	66471	1	21.8	1.7
Contig16633890||full	0.987	0.34	0.013	0.02	0.987	dsDNAphage	66412	4	31.9	2.5
Contig88814411||full	1	0.267	0	0.04	1	dsDNAphage	66265	4	32.4	0.9
Contig73679601||full	1	0.633	0.007	0.033	1	dsDNAphage	66251	3	29.8	1.1
Contig96267872||full	0.993	0.247	0.007	0.013	0.993	dsDNAphage	66024	2	29	0.9
Contig133546641||full	0.993	0.16	0.007	0.02	0.993	dsDNAphage	65624	5	22.6	1.9
Contig31851058||full	0.993	0.587	0	0.007	0.993	dsDNAphage	65497	2	33.3	4.8
Contig133592504||full	0.993	0.16	0.013	0.047	0.993	dsDNAphage	64932	14	29.6	1.9
Contig152236963||full	0.067	0.887	0	0.053	0.887	NCLDV	64917	0	5.3	1.3
Contig74269475||full	1	0.28	0	0	1	dsDNAphage	64627	9	38.7	3.2
Contig156366259||full	1	0.1	0	0.013	1	dsDNAphage	64506	3	37	6
Contig101590508||full	0.967	0.253	0.013	0.18	0.967	dsDNAphage	64472	6	39.1	7.2
Contig105806287||full	1	0.133	0.087	0.02	1	dsDNAphage	64145	1	28.5	0
Contig50291485||full	0.993	0.2	0.073	0.08	0.993	dsDNAphage	64129	5	24.8	1.6
Contig75107070||full	0.993	0.413	0	0.013	0.993	dsDNAphage	63808	3	10.9	1
Contig59794656||full	1	0.3	0.04	0.087	1	dsDNAphage	63672	2	29.6	1
Contig153859913||0_partial	0.867	0.087	0	0.073	0.867	dsDNAphage	63579	7	27.3	19.5
Contig6818780||full	0.993	0.22	0.013	0.02	0.993	dsDNAphage	63508	3	20.7	1.1
Contig22438201||full	0.993	0.5	0.013	0.067	0.993	dsDNAphage	63396	7	35.3	3.9
Contig107757383||full	0.88	0.327	0	0.067	0.88	dsDNAphage	63262	9	27.6	2.6
Contig79389939||full	1	0.107	0	0	1	dsDNAphage	63163	2	23	5
Contig35840260||full	0.387	0.64	0.02	0.02	0.64	NCLDV	63042	1	36.8	7
Contig80212091||full	1	0.773	0	0.26	1	dsDNAphage	62998	3	30.5	2.4
Contig40380278||full	0.993	0.3	0.007	0.013	0.993	dsDNAphage	62884	1	20	2
Contig132222331||full	0.34	0.533	0	0	0.533	NCLDV	62791	0	16.7	0
Contig105356834||full	0.993	0.113	0.013	0.007	0.993	dsDNAphage	62528	5	31.8	3.7
Contig121505797||full	0.993	0.507	0.32	0.753	0.993	dsDNAphage	62390	8	41.5	0
Contig47126208||full	0.967	0.133	0.007	0.007	0.967	dsDNAphage	62378	9	50.7	8.5
Contig131552658||full	0.98	0.187	0.013	0.007	0.98	dsDNAphage	62364	6	20.6	1.9
Contig36572066||full	0.793	0.04	0.013	0	0.793	dsDNAphage	62161	0	11.1	0
Contig78798105||full	0.987	0.053	0.013	0.013	0.987	dsDNAphage	61779	7	18	4.5
Contig58440972||full	0.987	0.267	0	0.107	0.987	dsDNAphage	61755	2	21.2	2.5
Contig121394450||full	1	0.353	0.147	0.16	1	dsDNAphage	61657	5	40.2	0
Contig32037392||full	0.993	0.273	0.093	0.353	0.993	dsDNAphage	61597	8	43.4	1.2
Contig150807167||full	0.98	0.3	0.033	0.047	0.98	dsDNAphage	61591	4	28.3	1
Contig101385235||full	0.993	0.107	0	0.007	0.993	dsDNAphage	61447	1	18	1.1
Contig8016591||full	0.987	0.047	0	0.007	0.987	dsDNAphage	61424	5	24.2	4
