contig_id	full-partial	max_score	max_score_group	length	hallmark	viral	cellular	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings	bin	contigLen	totalAvgDepth	contig_%GC	Completeness	Contamination	classification	bin_length	bin_%GC	contig_count
Contig50535847	full	0.96	dsDNAphage	95307	7	37.2	10.6	95307	Yes	53208	113	12	23	Complete	High-quality	100	Provirus (high-confidence)	44.17	1	contig >1.5x longer than expected genome length	bin.345	95309	23.1	39	96.1	0.95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__Palsa-948_A;g__JABEUT01;s__	3588740	40	92
Contig150998823	0_partial	0.92	dsDNAphage	91577	6	30.3	11.8	91577	Yes	52098	103	21	29	Low-quality	Genome-fragment	48.35	AAI-based (medium-confidence)	43.11	1	low-confidence Provirus	bin.292	243655	30.9	63	98.39	2.47	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__	8487454	65	114
Contig46659802	full	0.66	dsDNAphage	74564	0	16.7	8.3	74564	No	NA	65	1	42	Low-quality	Genome-fragment	41.74	HMM-based (lower-bound)	0	1	NA	bin.126	78858	14	44	93.39	0.23	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__;s__	3629305	46	124
Contig153579451	full	0.98	dsDNAphage	71698	7	34.7	9.5	71698	Yes	52305	95	20	11	High-quality	High-quality	99.44	AAI-based (medium-confidence)	27.05	1	NA	bin.196	71699	10.6	58	89.15	0.83	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002814235	6589907	62	420
Contig77229552	full	1	dsDNAphage	70770	6	34.7	10.2	70770	Yes	57428	98	22	9	High-quality	High-quality	100	AAI-based (medium-confidence)	18.85	1	NA	bin.292	70770	44.5	62	98.39	2.47	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__	8487454	65	114
Contig111413353	full	0.687	dsDNAphage	69013	5	24	32	69013	No	NA	53	0	36	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected	bin.236	74678	48.4	59	94.88	3.42	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__;s__	3346786	61	128
Contig16082042	full	0.993	dsDNAphage	66776	9	31.2	2.1	66776	No	NA	97	17	0	High-quality	High-quality	92.54	HMM-based (lower-bound)	0	1	NA	bin.167	66793	16.5	60	79.31	1.72	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	3945891	65	307
Contig153859913	0_partial	0.867	dsDNAphage	63579	7	27.3	19.5	63579	Yes	19510	77	11	27	Low-quality	Genome-fragment	25.86	HMM-based (lower-bound)	69.31	1	low-confidence Provirus	bin.112	379819	24.1	60	95.22	0.87	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA9219;f__UBA9219;g__;s__	2082496	59	6
Contig89701461	full	0.993	dsDNAphage	59608	7	30	2.5	59608	No	NA	81	11	2	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA	bin.090	59705	12.6	61	58.29	1.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__Aliidongia;s__	3723695	66	436
Contig104763881	full	0.98	dsDNAphage	58313	7	49.3	8	58313	Yes	37365	75	19	16	High-quality	High-quality	90.97	AAI-based (medium-confidence)	35.92	1	NA	bin.292	58314	32.5	65	98.39	2.47	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__	8487454	65	114
Contig140015843	full	0.9	dsDNAphage	57722	3	32.7	26.5	57722	Yes	14709	49	4	21	Low-quality	Genome-fragment	31.88	HMM-based (lower-bound)	74.52	1	NA	bin.156	57740	12.2	43	95.58	2.3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__	6116630	41	158
Contig102276868	full	0.753	dsDNAphage	56134	2	40	8	56134	No	NA	45	0	19	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected	bin.345	56136	20.9	42	96.1	0.95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__Palsa-948_A;g__JABEUT01;s__	3588740	40	92
Contig54185626	full	1	dsDNAphage	52582	14	54.3	1.4	52582	No	NA	70	29	0	Medium-quality	Genome-fragment	62.35	AAI-based (medium-confidence)	0	1	NA	bin.244	52582	13.7	62	80.03	2.61	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea;s__	5029135	62	439
Contig112655699	0_partial	0.893	dsDNAphage	52138	5	32.4	14.7	52138	Yes	37805	56	8	8	High-quality	High-quality	100	AAI-based (medium-confidence)	27.49	1	contig >1.5x longer than expected genome length	bin.156	269040	12.4	39	95.58	2.3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__	6116630	41	158
Contig39691645	full	0.96	dsDNAphage	50639	8	44.3	16.4	50639	Yes	34544	61	19	18	Medium-quality	Genome-fragment	74.09	AAI-based (high-confidence)	31.78	1	NA	bin.181	50640	51.9	35	71.03	1.72	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__	3919567	34	304
Contig19482721	full	1	dsDNAphage	48948	2	16.3	1.2	48948	No	NA	86	8	1	Medium-quality	Genome-fragment	50.78	HMM-based (lower-bound)	0	1	NA	bin.328	48984	25.1	56	65.87	2.59	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	7013008	59	662
Contig131940473	full	0.967	dsDNAphage	48934	4	21.6	8.2	48934	Yes	37471	74	7	10	Medium-quality	Genome-fragment	88.91	AAI-based (medium-confidence)	23.43	1	NA	bin.347	49322	12.9	59	78.25	5.13	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SbA1;g__JABCZH01;s__	3750963	58	125
Contig63117449	full	1	dsDNAphage	48876	10	36.6	1.4	48876	No	NA	71	20	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA	bin.222	49101	14.5	53	95.95	3.42	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__UBA1321;g__JABDGH01;s__	3649706	58	144
Contig117463258	full	0.947	dsDNAphage	48007	2	10.3	5.9	48007	No	NA	68	2	1	High-quality	High-quality	98.63	AAI-based (medium-confidence)	0	1	NA	bin.347	48104	18.5	59	78.25	5.13	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SbA1;g__JABCZH01;s__	3750963	58	125
Contig772366	full	0.98	dsDNAphage	47400	2	17.7	1.6	47400	No	NA	62	7	0	Medium-quality	Genome-fragment	72.49	AAI-based (medium-confidence)	0	1	NA	bin.347	47497	14.5	58	78.25	5.13	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SbA1;g__JABCZH01;s__	3750963	58	125
Contig110757515	full	0.567	dsDNAphage	47240	2	30.8	38.5	47240	No	NA	42	0	27	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected	bin.236	47242	43	63	94.88	3.42	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__;s__	3346786	61	128
Contig74672248	full	1	dsDNAphage	47194	2	16.7	1.4	47194	No	NA	72	10	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA	bin.046	47196	36.5	56	98.28	9.48	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	8354268	58	129
Contig7603092	full	1	dsDNAphage	47129	1	10.8	2.7	47129	No	NA	75	4	1	High-quality	High-quality	99.53	AAI-based (medium-confidence)	0	1	NA	bin.202	47226	109.8	54	94.89	4.7	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SbA1;g__JABCZH01;s__	5152567	57	265
Contig118977672	full	1	dsDNAphage	46032	1	14.9	0	46032	No	NA	74	2	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA	bin.328	46093	11.9	58	65.87	2.59	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	7013008	59	662
Contig24317610	full	0.993	dsDNAphage	45278	3	14.1	4	45278	No	NA	99	8	0	Medium-quality	Genome-fragment	83.26	HMM-based (lower-bound)	0	1	NA	bin.206	45375	10.4	58	76.57	5.34	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__UBA7656;f__UBA7656;g__;s__	9020328	57	716
Contig133367579	full	0.993	dsDNAphage	44894	1	11.5	3.3	44894	No	NA	61	4	0	Low-quality	Genome-fragment	49.32	HMM-based (lower-bound)	0	1	NA	bin.347	45199	12.1	59	78.25	5.13	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SbA1;g__JABCZH01;s__	3750963	58	125
Contig128657248	0_partial	0.907	dsDNAphage	44855	13	33.9	29	44855	Yes	15344	50	19	28	Low-quality	Genome-fragment	46.44	AAI-based (high-confidence)	65.79	1	low-confidence Provirus	bin.348	106344	252.5	53	96.62	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella laticis	5209876	53	52
Contig117862783	full	0.993	dsDNAphage	44198	6	28.8	3.8	44198	No	NA	52	6	0	Medium-quality	Genome-fragment	52.13	HMM-based (lower-bound)	0	1	NA	bin.268	44199	11.2	66	61.37	3.42	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	5274845	70	589
Contig151611761	full	1	dsDNAphage	42854	6	29.5	0	42854	No	NA	61	11	3	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA	bin.268	42856	14.5	66	61.37	3.42	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	5274845	70	589
Contig114102107	full	1	dsDNAphage	42130	4	39.7	1.7	42130	No	NA	58	9	1	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA	bin.328	42131	24	56	65.87	2.59	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	7013008	59	662
Contig7807565	full	1	dsDNAphage	42008	4	33.3	3.8	42008	No	NA	78	14	1	Medium-quality	Genome-fragment	52.06	HMM-based (lower-bound)	0	1	NA	bin.205	42179	9.5	69	53.01	3.93	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__JAFATL01;g__;s__	2740368	68	315
Contig126708142	full	0.993	dsDNAphage	41461	3	22.2	1.6	41461	No	NA	64	7	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA	bin.244	41471	41	47	80.03	2.61	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea;s__	5029135	62	439
Contig82605441	0_partial	0.9	dsDNAphage	40815	5	20.4	38.8	40815	Yes	23101	38	10	10	Low-quality	Genome-fragment	33.63	HMM-based (lower-bound)	43.4	1	NA	bin.187	138789	23.4	53	91.21	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Acerihabitans;s__	5517391	53	35
Contig137069587	full	0.993	dsDNAphage	40632	11	66.7	3.7	40632	Yes	32754	54	20	4	Medium-quality	Genome-fragment	70.33	AAI-based (medium-confidence)	19.39	1	NA	bin.181	41479	44.3	34	71.03	1.72	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__	3919567	34	304
Contig52169580	full	1	dsDNAphage	39896	2	17.4	4.3	39896	No	NA	46	2	0	Medium-quality	Genome-fragment	60.83	HMM-based (lower-bound)	0	1	NA	bin.101	40286	15.5	51	93.58	1.69	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__	4105566	53	72
Contig54364422	full	0.507	dsDNAphage	39144	0	14.3	0	39144	No	NA	51	0	29	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected	bin.342	39173	79.4	54	76.27	0	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2100;g__UBA10103;s__	898682	55	30
Contig78989445	full	0.967	dsDNAphage	38486	2	23	4.9	38486	No	NA	61	8	1	High-quality	High-quality	95.12	AAI-based (medium-confidence)	0	1	NA	bin.206	38487	24.6	56	76.57	5.34	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__UBA7656;f__UBA7656;g__;s__	9020328	57	716
Contig144499038	full	0.9	dsDNAphage	38432	12	52.4	23.8	38432	Yes	20429	42	18	16	Low-quality	Genome-fragment	43.67	AAI-based (high-confidence)	46.84	1	NA	bin.244	38619	7.7	61	80.03	2.61	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea;s__	5029135	62	439
Contig154184152	full	0.967	dsDNAphage	37286	7	37	4.3	37286	No	NA	46	16	0	Medium-quality	Genome-fragment	54.1	HMM-based (lower-bound)	0	1	NA	bin.468	37287	16.5	55	80.93	5.74	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_A;s__	6097229	58	352
Contig22884156	full	1	dsDNAphage	37028	5	27.9	1.5	37028	No	NA	68	9	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA	bin.244	37160	15.6	35	80.03	2.61	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea;s__	5029135	62	439
Contig60973928	full	0.633	dsDNAphage	36152	1	40.9	31.8	36152	No	NA	36	0	23	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected	bin.345	38404	22.7	40	96.1	0.95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__Palsa-948_A;g__JABEUT01;s__	3588740	40	92
Contig27114092	full	1	dsDNAphage	36024	5	37.9	3.4	36024	No	NA	58	12	2	Medium-quality	Genome-fragment	57.54	HMM-based (lower-bound)	0	1	NA	bin.401	36027	12.5	41	92.4	1.35	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae;g__CAJCIW01;s__	2168499	44	95
Contig129388216	full	0.84	dsDNAphage	35605	2	50	13.6	35605	No	NA	22	0	11	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected	bin.050	35608	13.5	51	81.87	0	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__PALSA-1337;g__PALSA-1337;s__	770014	50	16
Contig148059665	full	0.933	dsDNAphage	34582	1	56.7	16.7	34582	Yes	22820	29	9	5	Low-quality	Genome-fragment	30.02	HMM-based (lower-bound)	34.01	1	NA	bin.292	36348	41	63	98.39	2.47	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__	8487454	65	114
Contig137240643	full	0.993	dsDNAphage	34261	4	29.5	1.6	34261	No	NA	62	7	0	High-quality	High-quality	90.45	AAI-based (medium-confidence)	0	1	NA	bin.142	34358	28.8	36	66.34	0	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__JACDET01;s__	1615459	37	43
Contig58227315	0_partial	0.94	dsDNAphage	34187	7	26.5	22.4	34187	Yes	26222	40	7	7	Low-quality	Genome-fragment	30.17	HMM-based (lower-bound)	23.3	1	NA	bin.052	43586	9.4	63	57.76	5.17	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__AP-15;s__	5008314	63	502
Contig55303003	full	0.58	dsDNAphage	33946	2	10.3	34.5	33946	No	NA	28	2	11	Low-quality	Genome-fragment	22.67	HMM-based (lower-bound)	0	1	NA	bin.229	34777	10.5	62	80.88	2.6	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella_B;s__	4530588	61	253
Contig105657486	full	0.953	dsDNAphage	33061	0	27.9	2.3	33061	No	NA	43	10	0	Low-quality	Genome-fragment	41.48	HMM-based (lower-bound)	0	1	NA	bin.244	33206	20.9	39	80.03	2.61	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea;s__	5029135	62	439
Contig50574889	full	0.893	dsDNAphage	32947	5	27.3	18.2	32947	Yes	10662	22	2	8	Low-quality	Genome-fragment	4.28	HMM-based (lower-bound)	67.64	1	NA	bin.236	32947	43.7	60	94.88	3.42	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__;s__	3346786	61	128
Contig10973502	full	0.993	dsDNAphage	32881	4	55.6	4.4	32881	No	NA	45	17	0	Medium-quality	Genome-fragment	72.87	AAI-based (medium-confidence)	0	1	NA	bin.196	32885	9	60	89.15	0.83	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp002814235	6589907	62	420
Contig98011433	full	0.993	dsDNAphage	32355	4	18.5	4.9	32355	No	NA	81	8	1	Medium-quality	Genome-fragment	51.43	HMM-based (lower-bound)	0	1	NA	bin.328	32357	9.1	59	65.87	2.59	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	7013008	59	662
Contig123814642	full	0.98	dsDNAphage	32146	3	17.5	0	32146	No	NA	57	6	0	Medium-quality	Genome-fragment	80.53	AAI-based (high-confidence)	0	1	NA	bin.240	32149	8	45	60.49	2.03	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__SM23-39;g__CAIPFQ01;s__	1205378	47	140
Contig35851453	full	0.767	dsDNAphage	31978	0	34	13.2	31978	Yes	28800	53	4	4	Low-quality	Genome-fragment	24.25	HMM-based (lower-bound)	9.94	1	NA	bin.268	36527	10.1	68	61.37	3.42	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__	5274845	70	589
Contig37926865	full	1	dsDNAphage	31918	5	41.2	0	31918	No	NA	51	15	0	Medium-quality	Genome-fragment	56.05	AAI-based (medium-confidence)	0	1	NA	bin.478	31920	9.2	57	93.52	3.48	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PKWO01;s__	6416355	60	350
Contig79550218	full	0.907	dsDNAphage	31708	2	29.6	11.1	31708	Yes	21466	27	4	4	Low-quality	Genome-fragment	35.32	AAI-based (medium-confidence)	32.3	1	NA	bin.478	31708	9.7	60	93.52	3.48	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__PKWO01;s__	6416355	60	350
Contig31533497	0_partial	0.833	dsDNAphage	31303	1	17.8	22.2	31303	No	NA	33	3	7	Medium-quality	Genome-fragment	72.68	HMM-based (lower-bound)	0	1	NA	bin.064	259615	22.8	51	58.77	0.93	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__;s__	944814	51	6
Contig59720129	full	0.987	dsDNAphage	31139	1	6.8	2.3	31139	No	NA	44	1	1	Medium-quality	Genome-fragment	64.32	AAI-based (medium-confidence)	0	1	NA	bin.328	31429	10	61	65.87	2.59	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	7013008	59	662
Contig71058814	full	0.593	dsDNAphage	30722	1	12.5	4.2	30722	Yes	25904	30	2	7	Low-quality	Genome-fragment	33.42	HMM-based (lower-bound)	15.68	1	NA	bin.202	30723	52.4	58	94.89	4.7	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SbA1;g__JABCZH01;s__	5152567	57	265
Contig48411973	0_partial	0.907	dsDNAphage	30638	5	25.7	17.1	30638	Yes	14789	23	2	7	Low-quality	Genome-fragment	7.7	HMM-based (lower-bound)	51.73	1	NA	bin.292	183744	28.6	66	98.39	2.47	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__	8487454	65	114
Contig154811772	full	0.607	dsDNAphage	29553	1	25	18.8	29553	No	NA	28	0	16	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected	bin.401	30076	15.3	44	92.4	1.35	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae;g__CAJCIW01;s__	2168499	44	95
Contig85105092	0_partial	0.913	dsDNAphage	28660	2	17.8	17.8	28660	Yes	11759	32	4	9	Low-quality	Genome-fragment	17.62	HMM-based (lower-bound)	58.97	1	low-confidence Provirus	bin.164	157058	21.4	59	95.35	7.02	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__	5868634	60	88
Contig113318497	full	0.673	dsDNAphage	27407	3	15.8	21.1	27407	No	NA	20	0	4	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected	bin.206	27884	13.8	58	76.57	5.34	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__UBA7656;f__UBA7656;g__;s__	9020328	57	716
Contig50257471	full	0.993	dsDNAphage	26617	8	45.7	2.9	26617	No	NA	35	13	1	Low-quality	Genome-fragment	37.76	HMM-based (lower-bound)	0	1	NA	bin.328	27607	21	59	65.87	2.59	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	7013008	59	662
Contig19949985	0_partial	0.907	dsDNAphage	26496	1	17.6	26.5	26496	No	NA	22	1	6	Low-quality	Genome-fragment	24.48	HMM-based (lower-bound)	0	1	NA	bin.073	81017	8.8	46	73.27	0.11	d__Bacteria;p__Patescibacteria;c__Doudnabacteria;o__UBA920;f__UBA920;g__PALSA-1336;s__	1128127	45	59
Contig96477268	0_partial	0.913	dsDNAphage	26126	1	19.5	12.2	26126	Yes	10152	36	2	9	Low-quality	Genome-fragment	14.94	HMM-based (lower-bound)	61.14	1	low-confidence Provirus	bin.218	31969	10.3	60	70.86	1.72	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella_B;s__	3805363	64	308
Contig117940163	full	0.633	dsDNAphage	25587	1	25	16.7	25587	No	NA	12	0	10	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected	bin.371	25589	9.7	58	69.33	0	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2103;g__C7867-001;s__	620442	57	31
