contig_id	full-partial	max_score	max_score_group	length	hallmark	viral	cellular	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings	bin	contigLen	totalAvgDepth	contig_%GC	Completeness	Contamination	classification	bin_length	bin_%GC	contig_count
Contig58440972	full	0.987	dsDNAphage	61755	2	21.2	2.5	61755	No	NA	80	6	3	Medium-quality	Genome-fragment	76.84	HMM-based (lower-bound)	0	1	NA	bin.484	61758	13.6	57	32.76	8.28	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__UBA1321;g__JABDGH01;s__	2966174	58	406
Contig36340736	full	1	dsDNAphage	61396	5	24.2	3.2	61396	No	NA	95	15	1	Medium-quality	Genome-fragment	85.19	HMM-based (lower-bound)	0	1	NA	bin.379	61399	10.7	54	0	0	Unclassified	368432	54	26
Contig146465812	full	0.993	dsDNAphage	60879	3	27.3	7.6	60879	No	NA	66	12	2	Low-quality	Genome-fragment	33.29	HMM-based (lower-bound)	0	1	NA	bin.334	60882	19.8	41	0	0	Unclassified Bacteria	210227	40	12
Contig78964859	full	1	dsDNAphage	60806	5	31.1	0	60806	No	NA	91	14	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA	bin.263	60903	26.3	61	16.67	4.17	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__	6268494	62	618
Contig84052963	full	0.927	dsDNAphage	60000	2	26.7	3.5	60000	No	NA	86	4	9	Low-quality	Genome-fragment	25.62	HMM-based (lower-bound)	0	1	NA	bin.261	60002	10.3	38	0	0	Unclassified Bacteria	578648	39	15
Contig95918544	full	0.967	dsDNAphage	59167	3	22.2	0	59167	No	NA	54	6	1	Medium-quality	Genome-fragment	72.06	HMM-based (lower-bound)	0	1	NA	bin.453	59376	11.9	53	0	0	Unclassified Bacteria	455770	53	14
Contig19526292	full	0.987	dsDNAphage	58739	4	27.1	5.9	58739	No	NA	85	13	0	Medium-quality	Genome-fragment	57.38	HMM-based (lower-bound)	0	1	NA	bin.263	58742	11.3	61	16.67	4.17	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__	6268494	62	618
Contig139464878	full	0.987	dsDNAphage	58674	6	25.6	1.1	58674	No	NA	90	11	2	Medium-quality	Genome-fragment	73.66	HMM-based (lower-bound)	0	1	NA	bin.153	58675	10.9	60	4.17	0	Unclassified Bacteria	1359624	61	200
Contig118935908	full	0.96	dsDNAphage	57907	0	20.3	1.4	57907	No	NA	143	12	5	Low-quality	Genome-fragment	22.47	HMM-based (lower-bound)	0	1	NA	bin.166	57908	11.7	36	0	0	Unclassified Bacteria	334513	37	11
Contig156358283	full	1	dsDNAphage	57169	8	33.7	2.3	57169	No	NA	86	16	2	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA	bin.263	57641	19.2	60	16.67	4.17	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__	6268494	62	618
Contig86003695	full	1	dsDNAphage	54403	3	22	2.4	54403	No	NA	82	5	2	Medium-quality	Genome-fragment	86.22	AAI-based (medium-confidence)	0	1	NA	bin.313	54523	14.7	48	20.05	1.64	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2100;g__;s__	573050	52	63
Contig26800273	full	0.98	dsDNAphage	54356	1	23.7	2.1	54356	No	NA	97	9	6	Low-quality	Genome-fragment	30.09	HMM-based (lower-bound)	0	1	NA	bin.054	54829	12.4	29	0	0	Unclassified Bacteria	551857	29	3
Contig62008147	full	0.907	dsDNAphage	54122	0	14.4	1	54122	No	NA	96	3	1	Low-quality	Genome-fragment	30.34	HMM-based (lower-bound)	0	1	NA	bin.457	55266	44.4	49	0	0	Unclassified	247292	49	5
Contig39575757	full	0.967	dsDNAphage	53722	1	11.1	1.7	53722	No	NA	117	2	2	Low-quality	Genome-fragment	34.31	HMM-based (lower-bound)	0	1	NA	bin.261	53724	14.1	41	0	0	Unclassified Bacteria	578648	39	15
Contig128711779	full	1	dsDNAphage	53380	3	19.8	5.8	53380	No	NA	86	8	0	Medium-quality	Genome-fragment	83.59	AAI-based (medium-confidence)	0	1	NA	bin.475	53383	8.5	61	0	0	Unclassified Bacteria	4149049	58	455
Contig70763265	full	0.993	dsDNAphage	52735	9	49.4	7.4	52735	No	NA	81	19	3	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA	bin.366	52736	12.3	33	4.17	0	Unclassified Bacteria	643752	35	40
Contig150763770	full	0.993	dsDNAphage	50914	3	21.5	0	50914	No	NA	79	11	2	Low-quality	Genome-fragment	49.36	HMM-based (lower-bound)	0	1	NA	bin.482	50915	11	68	0	0	Unclassified	257558	68	18
Contig149830810	full	1	dsDNAphage	49179	2	18.2	1.3	49179	No	NA	76	5	1	Medium-quality	Genome-fragment	67.63	HMM-based (lower-bound)	0	1	NA	bin.329	49834	12.4	53	0	0	Unclassified Bacteria	1974977	53	198
Contig38290607	full	1	dsDNAphage	49112	1	22.9	2.9	49112	No	NA	70	5	0	High-quality	High-quality	96.64	AAI-based (medium-confidence)	0	1	NA	bin.403	49851	11.4	63	8.33	0	Unclassified Bacteria	2819228	64	299
Contig102241731	full	1	dsDNAphage	48791	3	20.8	1.3	48791	No	NA	78	8	3	High-quality	High-quality	97.49	AAI-based (medium-confidence)	0	1	NA	bin.056	48888	40.5	58	0	0	Unclassified	480316	58	28
Contig115376184	full	0.98	dsDNAphage	48622	5	38.7	4.8	48622	No	NA	62	16	2	Low-quality	Genome-fragment	13.23	AAI-based (medium-confidence)	0	1	NA	bin.489	48674	8.3	51	0	0	Unclassified Bacteria	497377	51	26
Contig87324615	full	0.973	dsDNAphage	48572	2	25	3.9	48572	No	NA	76	9	1	Low-quality	Genome-fragment	19.92	HMM-based (lower-bound)	0	1	NA	bin.459	48612	8.7	52	0	0	Unclassified Bacteria	492241	51	22
Contig54342076	full	0.753	dsDNAphage	48436	0	29.4	13.7	48436	No	NA	48	0	19	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected	bin.092	55603	12.3	49	42.48	1.19	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__	763440	49	34
Contig82077167	full	0.907	dsDNAphage	47893	1	17.9	7.5	47893	No	NA	64	5	5	Low-quality	Genome-fragment	19.16	HMM-based (lower-bound)	0	1	NA	bin.406	49850	12.9	40	0	0	Unclassified Bacteria	582437	41	11
Contig661527	full	1	dsDNAphage	47705	11	60.9	0	47705	No	NA	64	29	0	Low-quality	Genome-fragment	11.94	AAI-based (medium-confidence)	0	1	NA	bin.166	47709	12	37	0	0	Unclassified Bacteria	334513	37	11
Contig150763769	full	0.833	dsDNAphage	46924	0	24.6	1.5	46924	No	NA	68	8	0	Medium-quality	Genome-fragment	57.21	HMM-based (lower-bound)	0	1	NA	bin.482	46975	10.3	69	0	0	Unclassified	257558	68	18
Contig82077166	full	0.933	dsDNAphage	46709	5	39.3	1.8	46709	No	NA	56	6	9	Low-quality	Genome-fragment	38.83	HMM-based (lower-bound)	0	1	NA	bin.406	46709	12.7	41	0	0	Unclassified Bacteria	582437	41	11
Contig147068327	full	0.987	dsDNAphage	46468	4	23.4	3.1	46468	No	NA	64	4	1	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA	bin.504	46468	11.8	62	46.87	2.32	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__AP-15;s__	3488014	63	432
Contig102604416	full	1	dsDNAphage	43813	2	43.3	6	43813	No	NA	67	12	1	Complete	High-quality	100	DTR (high-confidence)	0	1	NA	bin.014	43814	11.9	61	24.14	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__	4499323	62	583
Contig82054205	full	1	dsDNAphage	43660	5	33.8	1.4	43660	No	NA	71	11	0	Medium-quality	Genome-fragment	86.29	AAI-based (medium-confidence)	0	1	NA	bin.214	43663	10.7	63	13.79	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__	3906504	63	478
Contig135773547	full	0.993	dsDNAphage	43367	9	40	5	43367	No	NA	60	17	0	Medium-quality	Genome-fragment	59.62	HMM-based (lower-bound)	0	1	NA	bin.215	43648	12.7	57	0	0	Unclassified	1112772	58	125
Contig134340168	full	0.973	dsDNAphage	42957	1	24.6	7	42957	No	NA	57	5	2	Medium-quality	Genome-fragment	57.33	HMM-based (lower-bound)	0	1	NA	bin.091	43469	22.9	60	42.62	0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__;s__	1898596	60	167
Contig44661955	full	0.993	dsDNAphage	42700	11	53.8	3.1	42700	No	NA	65	20	2	Medium-quality	Genome-fragment	82.89	AAI-based (medium-confidence)	0	1	NA	bin.366	42703	10.9	35	4.17	0	Unclassified Bacteria	643752	35	40
Contig16684237	full	0.967	dsDNAphage	42548	6	29	1.6	42548	Yes	36717	62	10	2	High-quality	High-quality	100	AAI-based (medium-confidence)	13.7	1	NA	bin.437	42578	12.3	53	0	0	Unclassified	558770	55	41
Contig100945708	full	0.993	dsDNAphage	42172	4	25.6	2.6	42172	Yes	40468	78	8	4	Medium-quality	Genome-fragment	68.27	AAI-based (medium-confidence)	4.04	1	NA	bin.475	42247	10.6	57	0	0	Unclassified Bacteria	4149049	58	455
Contig24916737	full	0.967	dsDNAphage	41904	3	31.8	2.3	41904	No	NA	44	6	1	Low-quality	Genome-fragment	38.29	HMM-based (lower-bound)	0	1	NA	bin.504	42008	10.2	61	46.87	2.32	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__AP-15;s__	3488014	63	432
Contig45399868	full	1	dsDNAphage	41293	2	24.5	0	41293	No	NA	94	8	4	Low-quality	Genome-fragment	14.57	HMM-based (lower-bound)	0	1	NA	bin.392	41530	10.4	34	0	0	Unclassified Bacteria	447320	33	30
Contig99100643	full	0.993	dsDNAphage	41223	7	31.1	1.4	41223	No	NA	75	18	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA	bin.312	41320	15.7	35	43.26	3.45	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__DSM-16500;f__DSM-16500;g__;s__	1763107	36	215
Contig7345072	full	0.987	dsDNAphage	41063	1	39.2	2	41063	No	NA	51	5	2	Medium-quality	Genome-fragment	84.43	AAI-based (medium-confidence)	0	1	NA	bin.190	41071	10.8	53	10.91	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Nevskia;s__	880751	57	85
Contig66730859	full	1	dsDNAphage	40907	3	16.2	1.4	40907	No	NA	74	6	2	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA	bin.361	41349	10.4	41	15.36	0	Unclassified Bacteria	309990	42	33
Contig87492090	full	0.987	dsDNAphage	40462	2	33.3	6.7	40462	No	NA	75	16	2	Medium-quality	Genome-fragment	73.45	AAI-based (high-confidence)	0	1	NA	bin.190	40462	10.4	42	10.91	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Nevskia;s__	880751	57	85
Contig126912234	full	0.867	dsDNAphage	39937	1	22.6	9.4	39937	No	NA	53	1	6	Low-quality	Genome-fragment	22.8	HMM-based (lower-bound)	0	1	NA	bin.406	40516	12.7	41	0	0	Unclassified Bacteria	582437	41	11
Contig128000801	full	1	dsDNAphage	39747	4	21.1	2.6	39747	No	NA	76	11	1	Medium-quality	Genome-fragment	75.99	AAI-based (medium-confidence)	0	1	NA	bin.172	39747	7.6	57	6.9	0	Unclassified Bacteria	920501	57	131
Contig54742492	full	1	dsDNAphage	39282	8	27.5	0	39282	No	NA	70	13	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA	bin.117	39379	15.3	39	0	0	Unclassified Bacteria	244330	40	19
Contig145882023	full	0.913	dsDNAphage	39233	0	32.8	1.7	39233	No	NA	58	3	2	Medium-quality	Genome-fragment	56.03	HMM-based (lower-bound)	0	1	NA	bin.453	39342	11.5	53	0	0	Unclassified Bacteria	455770	53	14
Contig147542387	full	0.893	dsDNAphage	38783	0	44	0	38783	No	NA	50	8	1	Low-quality	Genome-fragment	11.26	AAI-based (high-confidence)	0	1	NA	bin.383	38783	12.1	60	0	0	Unclassified Bacteria	261037	60	10
Contig1314018	full	0.993	dsDNAphage	38714	4	20.6	1.5	38714	No	NA	68	11	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA	bin.488	38717	13.5	41	0	0	Unclassified Bacteria	231814	41	23
Contig82077177	full	0.88	dsDNAphage	38490	3	25	0	38490	No	NA	36	4	1	Low-quality	Genome-fragment	17.88	AAI-based (medium-confidence)	0	1	NA	bin.406	38768	12.4	42	0	0	Unclassified Bacteria	582437	41	11
Contig39575753	full	0.913	dsDNAphage	38131	1	12.1	7.6	38131	No	NA	65	3	8	Low-quality	Genome-fragment	21.63	HMM-based (lower-bound)	0	1	NA	bin.261	38828	10.7	39	0	0	Unclassified Bacteria	578648	39	15
Contig132353393	full	1	dsDNAphage	37672	5	64	2	37672	No	NA	50	11	0	Low-quality	Genome-fragment	10.22	AAI-based (medium-confidence)	0	1	NA	bin.392	37674	10.2	31	0	0	Unclassified Bacteria	447320	33	30
Contig55334117	full	1	dsDNAphage	37577	2	20.4	0	37577	No	NA	54	8	1	Low-quality	Genome-fragment	40.65	AAI-based (medium-confidence)	0	1	NA	bin.150	38732	18.4	57	43.1	1.72	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Acidobacterium_A;s__	4754995	56	495
Contig32740101	full	1	dsDNAphage	37348	5	28.8	1.5	37348	No	NA	66	10	1	High-quality	High-quality	99.46	AAI-based (high-confidence)	0	1	NA	bin.257	37349	9.4	37	0	0	Unclassified Bacteria	273956	37	22
