gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
Contig102106639||full_5	Contig102106639||full	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	3	MF
Contig102276868||full_10	Contig102276868||full	K02911	large subunit ribosomal protein L32	MISC	Information systems		Ribosome, bacteria	2	M
Contig102276868||full_16	Contig102276868||full							2	MK
Contig102276868||full_19	Contig102276868||full							2	MK
Contig102276868||full_34	Contig102276868||full							1	MK
Contig102306268||full_4	Contig102306268||full	M35	Catlytic type: Metallo; cleaves Xaa-Lys bonds, in which Xaa can even be Pro	Organic Nitrogen	Peptidase		Fungal metalloendopeptidases	3	MF
Contig102317808||full_4	Contig102317808||full							2	MKF
Contig102341228||full_5	Contig102341228||full							3	MKF
Contig102353810||full_23	Contig102353810||full							2	MK
Contig102423587||full_3	Contig102423587||full							3	MKF
Contig102488231||full_118	Contig102488231||full	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	M
Contig102651470||full_62	Contig102651470||full	K00943	dTMP kinase [EC:2.7.4.9] [RN:R02094]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MT
Contig102652596||full_3	Contig102652596||full							3	MKF
Contig102652596||full_4	Contig102652596||full	K02075	ABC.ZM.P; zinc/manganese transport system permease protein	Transporters			Putative zinc/manganese transport system	3	MF
Contig102652650||full_3	Contig102652650||full	K01494	dCTP deaminase [EC:3.5.4.13] [RN:R02325]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MF
Contig102776390||full_4	Contig102776390||full							3	MKF
Contig102793626||full_19	Contig102793626||full	K00762	orotate phosphoribosyltransferase [EC:2.4.2.10] [RN:R01870]	MISC	Information systems	Nucleotide	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	3	MK
Contig102899460||full_5	Contig102899460||full	K00548	methionine synthase [EC:2.1.1.13 2.1.1.14] [RN:R00946 R04405]	Organic Nitrogen	Amino Acid		Methionine biosynthesis, apartate => homoserine => methionine	3	MF
Contig102899460||full_6	Contig102899460||full	K00338	nuoI; NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]	Energy	Electron transport Chain		NADH:quinone oxidoreductase, prokaryotes	3	MF
Contig103257893||full_13	Contig103257893||full							3	MK
Contig103257893||full_31	Contig103257893||full	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MF
Contig103275503||full_7	Contig103275503||full	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	3	MF
Contig103312358||full_47	Contig103312358||full							1	MK
Contig103393311||full_25	Contig103393311||full							2	MK
Contig103440251||full_3	Contig103440251||full							2	MKF
Contig103451998||full_2	Contig103451998||full							3	MKF
Contig103499038||full_14	Contig103499038||full							3	MK
Contig103499038||full_26	Contig103499038||full	K00560	thymidylate synthase [EC:2.1.1.45] [RN:R02101]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	M
Contig103734502||full_5	Contig103734502||full							3	MKF
Contig103816599||full_2	Contig103816599||full							3	MKF
Contig103816599||full_3	Contig103816599||full							3	MKF
Contig104022310||full_6	Contig104022310||full							2	MKF
Contig104058907||full_39	Contig104058907||full							1	MK
Contig104058907||full_73	Contig104058907||full							2	MK
Contig104387335||full_11	Contig104387335||full							3	MK
Contig104387335||full_13	Contig104387335||full							3	MK
Contig104763881||full_51	Contig104763881||full							2	MK
Contig104765539||full_2	Contig104765539||full	K00943	dTMP kinase [EC:2.7.4.9] [RN:R02094]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MF
Contig104829469||full_2	Contig104829469||full							3	MKF
Contig104911099||full_4	Contig104911099||full							3	MKF
Contig105187850||full_3	Contig105187850||full	K09812	ftsE; cell division transport system ATP-binding protein	Transporters			Cell division transport system	3	MTF
Contig105529960||full_25	Contig105529960||full	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	M
Contig105735910||full_3	Contig105735910||full	M17	Catlytic type: Metallo; any N-terminal amino acid can be released from dipeptides and polypeptides, although there is a preference for leucine; bonds with proline in P1 are not cleaved; maximally active between pH 9 and 9.5	Organic Nitrogen	Peptidase		Aminopeptidases	3	MF
Contig105806287||full_80	Contig105806287||full							2	MK
Contig105806287||full_83	Contig105806287||full							2	MK
Contig105806288||full_98	Contig105806288||full							1	MKT
Contig105806288||full_103	Contig105806288||full							1	MKT
Contig105806288||full_114	Contig105806288||full							1	MKT
Contig105806288||full_153	Contig105806288||full							2	MKT
Contig105882781||full_9	Contig105882781||full							2	MK
Contig105882781||full_11	Contig105882781||full	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	2	M
Contig105941626||full_5	Contig105941626||full							3	MKF
Contig105982827||full_5	Contig105982827||full							3	MKF
Contig106000543||full_9	Contig106000543||full							3	MKF
Contig106000543||full_13	Contig106000543||full							3	MK
Contig106000543||full_15	Contig106000543||full							3	MK
Contig106000543||full_17	Contig106000543||full							3	MKF
Contig106000543||full_18	Contig106000543||full							3	MKF
Contig106000543||full_20	Contig106000543||full							3	MKF
Contig106012238||full_14	Contig106012238||full	K00762	orotate phosphoribosyltransferase [EC:2.4.2.10] [RN:R01870]	MISC	Information systems	Nucleotide	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	3	MKF
Contig106100485||full_34	Contig106100485||full	GH16	GH16 xyloglucan:xyloglucosyltransferase (EC 2.4.1.207); keratan-sulfate endo-1,4-beta-galactosidase (EC 3.2.1.103); endo-1,3-beta-glucanase / laminarinase (EC 3.2.1.39); endo-1,3(4)-beta-glucanase (EC 3.2.1.6); licheninase (EC 3.2.1.73); beta-agarase (EC 3.2.1.81); kappa;-carrageenase (EC 3.2.1.83); xyloglucanase (EC 3.2.1.151); endo-beta-1,3-galactanase (EC 3.2.1.181); [retaining] beta-porphyranase (EC 3.2.1.178); hyaluronidase (EC 3.2.1.35); endo-beta-1,4-galactosidase (EC 3.2.1.-); chitin beta-1,6-glucanosyltransferase (EC 2.4.1.-); beta-transglycosidase (EC 2.4.1.-); beta-glycosidase (EC 3.2.1.-); endo-beta-1,3-galactanase (EC 3.2.1.181)	carbon utilization	CAZY	Amorphous Cellulose Oligo Cleavage, Xyloglucan Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Oligo Cleavage (Hemicellulose), Sulf-Polysachharides Backbone Cleavage	Glycoside Hydrolases	1	MF
Contig106153537||full_17	Contig106153537||full	K02935	large subunit ribosomal protein L7/L12	MISC	Information systems		Ribosome, bacteria	3	MF
Contig106365574||full_12	Contig106365574||full							3	MKF
Contig106454126||full_22	Contig106454126||full	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	M
Contig106454138||full_3	Contig106454138||full							3	MKF
Contig106454138||full_4	Contig106454138||full							3	MKF
Contig106483575||full_12	Contig106483575||full							3	MK
Contig106583791||full_5	Contig106583791||full							3	MKF
Contig10684605||full_3	Contig10684605||full							3	MKEF
Contig106978450||full_2	Contig106978450||full	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	3	MF
Contig107238685||full_3	Contig107238685||full	K01996	livF; branched-chain amino acid transport system ATP-binding protein	Transporters			Branched-chain amino acid transport system	3	MF
Contig107238685||full_3	Contig107238685||full	K01996	livF; branched-chain amino acid transport system ATP-binding protein	Transporters			Branched-chain amino acid transport system	3	MF
Contig107256064||full_4	Contig107256064||full							3	MKF
Contig107404367||full_7	Contig107404367||full							2	MK
Contig107645249||full_5	Contig107645249||full							3	MKF
Contig107645249||full_6	Contig107645249||full	K01810	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	3	MF
Contig107645249||full_6	Contig107645249||full	K01810	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	carbon utilization	central carbon	glycolysis	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	3	MF
Contig107810590||full_93	Contig107810590||full							1	MK
Contig107810590||full_94	Contig107810590||full							1	MK
Contig107845897||full_6	Contig107845897||full	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	3	MF
Contig107845897||full_37	Contig107845897||full							3	MKF
Contig107845898||full_97	Contig107845898||full							2	MK
Contig107922718||full_2	Contig107922718||full							3	MKF
Contig107928613||full_5	Contig107928613||full							3	MKF
Contig108153261||full_8	Contig108153261||full							2	MKF
Contig108153261||full_16	Contig108153261||full							2	MK
Contig108153261||full_19	Contig108153261||full	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	2	MF
Contig108277885||full_4	Contig108277885||full							3	MKF
Contig108312788||full_9	Contig108312788||full							3	MKF
Contig108354110||full_7	Contig108354110||full	K00162	pyruvate dehydrogenase complex [EC:1.2.4.1 2.3.1.12 1.8.1.4] [RN:R00209]	carbon utilization	pyruvate metabolism		Pyruvate oxidation, pyruvate => acetyl-CoA	3	MKF
Contig108389657||full_13	Contig108389657||full	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	MF
Contig108419159||full_37	Contig108419159||full							2	MK
Contig109044159||full_23	Contig109044159||full	K02935	large subunit ribosomal protein L7/L12	MISC	Information systems		Ribosome, bacteria	2	M
Contig109044159||full_27	Contig109044159||full	K02913	large subunit ribosomal protein L33	MISC	Information systems		Ribosome, bacteria	2	MF
Contig109044165||full_5	Contig109044165||full	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	2	MF
Contig109120777||full_9	Contig109120777||full							1	MK
Contig10914253||full_9	Contig10914253||full	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MF
Contig10914253||full_12	Contig10914253||full	K01939	adenylosuccinate synthase [EC:6.3.4.4] [RN:R01135]	MISC	Information systems	Nucleotide	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	3	MF
Contig109221108||full_3	Contig109221108||full							3	MKF
Contig109250672||full_14	Contig109250672||full							2	MK
Contig109250689||full_2	Contig109250689||full							2	MKF
Contig109256703||full_9	Contig109256703||full							3	MKF
Contig109256705||full_19	Contig109256705||full	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	2	M
Contig109458512||full_2	Contig109458512||full							3	MKF
Contig109796479||full_6	Contig109796479||full	K02909	large subunit ribosomal protein L31	MISC	Information systems		Ribosome, bacteria	3	MF
Contig109817916||full_2	Contig109817916||full							3	MKF
Contig109841421||full_2	Contig109841421||full							3	MKF
Contig109876813||full_19	Contig109876813||full							1	MK
Contig109876813||full_20	Contig109876813||full							1	MK
Contig109876813||full_26	Contig109876813||full							1	MK
Contig109876813||full_31	Contig109876813||full							1	MK
Contig109876813||full_51	Contig109876813||full	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	M
Contig109876813||full_134	Contig109876813||full	K00798	MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]	MISC	ADO-CBL synthesis		Cobalamin biosynthesis, cobinamide => cobalamin	1	MK
Contig109876813||full_134	Contig109876813||full	K00798	MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]	MISC	ADO-CBL synthesis		Cobalamin biosynthesis, cobinamide => cobalamin	1	MK
Contig109876813||full_258	Contig109876813||full							1	MK
Contig109876814||full_43	Contig109876814||full							2	MK
Contig109876848||full_3	Contig109876848||full							3	MKF
Contig110077999||full_3	Contig110077999||full							2	MKF
Contig110148538||full_6	Contig110148538||full							3	MKF
Contig110249242||full_12	Contig110249242||full							3	MK
Contig110249242||full_13	Contig110249242||full							3	MK
Contig110254901||full_3	Contig110254901||full							3	MKF
Contig110515220||full_84	Contig110515220||full							3	MKT
Contig110515220||full_96	Contig110515220||full							3	MKT
Contig110515220||full_99	Contig110515220||full							3	MKT
Contig110515220||full_111	Contig110515220||full	K01006	pyruvate,orthophosphate dikinase [EC:2.7.9.1] [RN:R00206]	Energy	C1		Reductive citrate cycle (Arnon-Buchanan cycle)	3	MKT
Contig110515220||full_113	Contig110515220||full	K01006	pyruvate,orthophosphate dikinase [EC:2.7.9.1] [RN:R00206]	Energy	C1		Reductive citrate cycle (Arnon-Buchanan cycle)	3	MKT
Contig110515220||full_115	Contig110515220||full	K01006	pyruvate,orthophosphate dikinase [EC:2.7.9.1] [RN:R00206]	Energy	C1		Reductive citrate cycle (Arnon-Buchanan cycle)	3	MKT
Contig110515220||full_149	Contig110515220||full	M50B	Catlytic type: Metallo; activates the factor sigmaK precursor by cleaving off a 20-residue propeptide; cleavage occurs within, or very close to, membranes	Organic Nitrogen	Peptidase		Metallo-endopeptidases	3	MT
Contig110515220||full_174	Contig110515220||full							3	MKT
Contig110597996||full_6	Contig110597996||full	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MF
Contig110680769||full_4	Contig110680769||full							3	MKF
Contig110680769||full_8	Contig110680769||full							3	MKF
Contig110740311||full_4	Contig110740311||full							2	MKF
Contig110745682||full_5	Contig110745682||full							3	MKF
Contig110745683||full_6	Contig110745683||full							3	MKF
Contig110757515||full_24	Contig110757515||full	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	1	M
Contig110757515||full_28	Contig110757515||full	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	1	M
Contig110757515||full_34	Contig110757515||full	K09691	ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein	Transporters			Lipopolysaccharide transport system	2	M
Contig110757515||full_35	Contig110757515||full	K09690	ABC-2.LPSE.P; lipopolysaccharide transport system permease protein	Transporters			Lipopolysaccharide transport system	2	M
